ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Priyanka ,1,1740832365122,-0.50518,1.61848,9.59357,27.615,18.445,-12.18
Priyanka ,2,1740832365140,-0.24421,-0.25857,6.85699,-5.95,-0.035,-5.6
Priyanka ,3,1740832365155,-0.14126,1.76213,9.44752,-17.465,-19.81,8.365
Priyanka ,4,1740832365171,1.41976,3.07416,10.79785,-3.85,-13.615,7.35
Priyanka ,5,1740832365184,1.55863,3.57694,9.54329,-1.26,10.045,5.67
Priyanka ,6,1740832365196,1.96325,2.98078,10.19451,-8.085,9.38,-0.105
Priyanka ,7,1740832365207,0.3304,2.62405,11.71722,13.79,10.045,0.63
Priyanka ,8,1740832365218,0.40941,0.87628,7.61596,14.98,22.4,-6.72
Priyanka ,9,1740832365231,-0.48123,0.67277,9.75877,10.955,10.5,-8.645
Priyanka ,10,1740832365241,-0.65362,-0.89304,7.13951,12.95,17.29,-4.235
Priyanka ,11,1740832365253,0.07422,-0.05986,7.185,-28.84,-2.73,0.49
Priyanka ,12,1740832365263,-0.1245,1.69509,11.08037,-25.13,-8.715,1.505
Priyanka ,13,1740832365275,0.89064,3.36864,12.12903,-14.91,-8.575,1.925
Priyanka ,14,1740832365285,1.36948,3.93128,11.5209,-3.885,-0.105,-1.365
Priyanka ,15,1740832365295,1.35991,3.03106,11.51132,21.245,9.905,-5.075
Priyanka ,16,1740832365307,0.24421,1.45807,9.28471,32.55,25.76,-0.245
Priyanka ,17,1740832365317,-0.89543,1.28808,9.30626,-3.29,10.57,-2.415
Priyanka ,18,1740832365328,0.31603,1.7334,10.0317,3.15,14.875,3.08
Priyanka ,19,1740832365338,0.44053,2.18591,10.27831,-7.56,6.405,2.835
Priyanka ,20,1740832365349,0.47166,1.90339,10.96784,-1.295,-1.085,4.62
Priyanka ,21,1740832365358,0.79487,1.72622,8.34379,0.42,8.295,-1.785
Priyanka ,22,1740832365369,0.43096,2.3104,9.97424,-10.955,-2.03,-0.98
Priyanka ,23,1740832365380,1.0319,1.54426,10.41957,0.875,1.225,-0.735
Priyanka ,24,1740832365394,1.39821,1.24977,9.22246,-1.96,9.415,-3.22
Priyanka ,25,1740832365415,-0.59855,1.53229,10.489,8.155,2.415,5.005
Priyanka ,26,1740832365428,0.63446,2.70545,8.42759,2.905,14.945,-5.075
Priyanka ,27,1740832365437,-0.29688,2.81319,11.09713,-12.88,3.115,-1.05
Priyanka ,28,1740832365447,0.99838,4.15155,11.04206,-7.77,4.935,1.19
Priyanka ,29,1740832365458,0.56982,4.0462,12.88799,-9.87,2.135,-4.305
Priyanka ,30,1740832365469,0.32082,1.98479,11.29824,22.505,1.19,-2.03
Priyanka ,31,1740832365479,0.89064,0.19632,7.00543,27.51,22.33,-2.87
Priyanka ,32,1740832365490,0.07422,-0.50039,7.86974,-2.345,12.075,-2.205
