ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Priyanka ,1,1740832765654,0.4118,4.24492,8.46829,-26.95,13.37,8.715
Priyanka ,2,1740832765665,0.64643,3.97437,12.3038,-22.365,11.375,1.19
Priyanka ,3,1740832765676,-0.8667,4.7501,12.03805,-4.2,0.14,0.315
Priyanka ,4,1740832765687,-0.67277,4.39336,10.6542,6.265,1.715,3.5
Priyanka ,5,1740832765698,-0.9505,3.42371,9.44991,19.18,-1.575,7.105
Priyanka ,6,1740832765709,-0.36871,2.59292,7.52498,15.12,-0.595,7.98
Priyanka ,7,1740832765720,-0.33758,3.055,7.45794,9.835,4.445,9.94
Priyanka ,8,1740832765733,-0.49799,3.80199,7.08923,-9.38,-2.03,12.53
Priyanka ,9,1740832765749,-0.09816,3.61524,8.12831,-23.87,10.01,10.885
Priyanka ,10,1740832765759,-1.09654,4.9153,10.73799,10.115,-2.59,6.79
Priyanka ,11,1740832765767,-0.57221,4.17309,8.22169,7.385,-1.435,9.135
Priyanka ,12,1740832765775,-0.09577,3.57694,8.65025,-3.815,8.33,10.15
Priyanka ,13,1740832765786,-0.63925,3.93846,9.06205,-11.27,4.97,8.33
Priyanka ,14,1740832765797,-0.33998,4.18985,10.68053,-9.485,11.55,9.975
Priyanka ,15,1740832765808,-0.9505,3.51948,10.62547,8.645,0.875,11.69
Priyanka ,16,1740832765820,-0.32561,2.91853,8.18817,7,-3.255,11.97
Priyanka ,17,1740832765830,-0.59137,3.37822,8.22648,0.385,4.305,11.48
Priyanka ,18,1740832765842,-0.2873,2.82037,8.89685,0.07,-1.575,9.975
Priyanka ,19,1740832765852,-0.26576,3.01669,9.37091,5.985,-1.89,9.065
Priyanka ,20,1740832765867,-0.85473,4.80516,8.07804,1.015,-8.4,11.445
Priyanka ,21,1740832765875,0.69911,4.45561,9.57681,-14.07,3.745,9.66
Priyanka ,22,1740832765886,-0.01437,5.53061,11.71004,1.365,0.665,1.505
Priyanka ,23,1740832765897,-0.9912,5.52821,10.17775,16.205,-5.67,8.47
Priyanka ,24,1740832765907,-0.82121,4.16831,9.18895,28.175,-5.775,15.435
Priyanka ,25,1740832765922,-0.50039,2.26491,6.43083,16.8,-11.095,16.24
Priyanka ,26,1740832765929,0.03112,2.11408,5.14275,-7.77,9.52,12.285
Priyanka ,27,1740832765941,0.1652,2.56419,7.35738,-19.6,6.895,11.865
Priyanka ,28,1740832765952,-0.77093,3.96719,8.54251,-24.71,24.605,13.615
Priyanka ,29,1740832765963,0.29688,4.24013,10.86249,-12.04,20.3,4.69
Priyanka ,30,1740832765975,-0.51236,4.46279,9.57441,-2.975,14.77,8.715
Priyanka ,31,1740832765985,0.0838,3.632,9.82341,2.275,15.925,9.065
Priyanka ,32,1740832765996,-0.80445,3.28724,9.43076,0.14,13.09,9.8
Priyanka ,33,1740832766007,-0.51715,3.30639,9.58399,1.89,12.53,11.095
