ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,1,1739356331365,1.30695,-0.435,9.642,-0.85872,1.32353,-6.6413
HS,2,1739356331382,-1.122,-0.63105,9.79005,-2.26103,-10.15496,-6.85401
HS,3,1739356331399,-1.24605,-0.744,9.948,-2.04832,2.65494,-6.42859
HS,4,1739356331412,-1.09605,-1.19895,9.105,-0.29937,-4.76629,-5.73531
HS,5,1739356331427,-1.09605,-1.19895,9.105,2.22164,-5.60926,-5.03415
HS,6,1739356331442,-0.19305,-0.351,9.66795,3.26944,-0.70904,-4.4748
HS,7,1739356331456,-0.52305,-0.339,9.153,0.47269,-11.62818,-4.19119
HS,8,1739356331470,0.34005,0.34905,10.57095,0.54359,-3.01734,-3.63184
HS,9,1739356331485,0.34005,0.34905,10.57095,-0.51208,-3.43488,-2.72585
HS,10,1739356331499,-0.48705,-0.816,8.36295,-2.60767,-12.04572,-2.85978
HS,11,1739356331514,0.105,0.06705,10.872,-0.65389,-4.00211,-0.76418
HS,12,1739356331528,-1.407,-0.59295,10.32705,-1.55988,-9.03626,-0.96901
HS,13,1739356331549,-0.006,-1.527,9.46905,-1.00053,-6.23951,0.49632
HS,14,1739356331563,-0.006,-1.527,9.46905,1.03204,-7.1455,1.41019
HS,15,1739356331576,-0.31695,0.71295,10.06305,0.25998,-8.2642,2.31618
HS,16,1739356331592,-0.14295,-1.893,9.843,-0.65389,-9.80832,2.87553
HS,17,1739356331607,-0.13995,-0.30795,9.49305,-1.14233,-6.65705,4.20694
HS,18,1739356331625,0.09105,0.273,9.618,-0.08666,-6.0268,5.53835
HS,19,1739356331636,0.09105,0.273,9.618,-3.30883,-10.02103,4.9081
HS,20,1739356331651,-1.179,0.15,10.521,-0.71691,-8.76052,5.60926
HS,21,1739356331666,-0.729,-0.00195,11.27205,-0.51208,-1.61502,6.38132
HS,22,1739356331682,-0.81495,-0.708,9.42195,-0.15756,-6.65705,6.51525
HS,23,1739356331698,-0.81495,-0.708,9.42195,-0.71691,-6.31041,7.0746
HS,24,1739356331716,0.108,0.31605,10.19205,1.16597,-9.66651,7.35821
HS,25,1739356331736,0.81195,-0.46395,8.15295,1.30778,-3.7894,8.61872
HS,26,1739356331748,0.81195,-0.46395,8.15295,-1.14233,-5.18384,7.98846
HS,27,1739356331764,0.012,-0.02295,8.55495,-2.53677,-14.2201,7.70485
HS,28,1739356331783,-0.69795,-0.58395,10.32705,-1.07143,-4.41965,7.91756
HS,29,1739356331794,-1.71795,-0.246,8.02995,-1.21324,-6.16861,9.80832
HS,30,1739356331814,-1.71795,-0.246,8.02995,-6.3892,-16.5284,7.57092
HS,31,1739356331827,-0.34095,0.45,12.216,-2.26103,-1.26839,8.2642
HS,32,1739356331840,-0.672,-1.66095,9.06495,-0.44118,2.93068,12.18753
HS,33,1739356331861,0.651,-0.684,9.18195,-4.1518,-21.57043,9.03626
HS,34,1739356331888,-2.367,-1.21095,9.12705,3.55305,1.52837,11.55727
HS,35,1739356331899,-0.94905,-0.20805,10.20705,0.54359,-9.66651,8.40601
HS,36,1739356331911,-1.94595,-1.422,9.345,-0.08666,-3.36398,8.54781
HS,37,1739356331926,-1.94595,-1.422,9.345,-0.22847,-8.96536,7.98846
HS,38,1739356331941,-0.08505,0.55305,11.11395,-0.65389,-4.9081,7.77575
HS,39,1739356331958,-1.23,-1.48605,9.65895,-0.51208,-11.06883,8.40601
HS,40,1739356331972,-1.404,-1.455,11.41605,-1.63078,-5.68016,8.13027
HS,41,1739356331993,-0.13995,-0.50505,10.875,0.25998,-7.2164,9.24897
HS,42,1739356332015,-1.30095,-0.84495,10.12995,0.40179,-8.20117,10.50948
HS,43,1739356332036,0.03105,0.40395,11.26005,-1.77259,-6.23951,11.41547
HS,44,1739356332052,-1.31295,-1.089,7.97505,-1.27626,-7.28731,11.41547
HS,45,1739356332069,-0.87,-1.09395,10.71195,-2.04832,-8.3351,11.84089
HS,46,1739356332084,-1.30395,-0.00405,8.646,-1.84349,-5.32564,12.11662
HS,47,1739356332103,0.273,0.06405,10.88895,-2.53677,-8.96536,12.46326
HS,48,1739356332118,0.273,0.06405,10.88895,-2.04832,-5.75106,13.16442
HS,49,1739356332132,-1.20105,-0.66,8.77005,-3.79728,-9.66651,13.16442
HS,50,1739356332145,-1.19595,-1.302,10.767,-2.33194,-3.37186,14.35402
HS,51,1739356332158,-1.19595,-1.302,10.767,-2.40284,-9.46168,14.42493
HS,52,1739356332172,-1.24905,-1.122,9.51,0.47269,-6.31041,15.19699
HS,53,1739356332186,-0.741,-1.041,10.39605,1.30778,-3.64759,15.68544
HS,54,1739356332200,0.12195,-1.75005,9.82395,2.15074,-6.58615,16.4575
HS,55,1739356332214,0.12195,-1.75005,9.82395,8.02785,-2.94644,17.5762
HS,56,1739356332228,-1.27995,-0.37305,8.46105,4.87659,-2.38709,17.6471
HS,57,1739356332241,-0.54705,0.36795,10.78605,4.1124,-2.94644,18.7658
HS,58,1739356332253,-1.179,-1.82895,10.28295,0.54359,-5.32564,17.6471
HS,59,1739356332264,-1.179,-1.82895,10.28295,2.00893,-3.43488,18.6949
HS,60,1739356332277,0.04305,-1.09605,9.37395,3.34034,-3.23005,19.46696
HS,61,1739356332291,0.04305,-1.09605,9.37395,2.07984,0.89811,19.8136
HS,62,1739356332306,-0.72195,0.22695,11.51205,5.79045,10.76946,20.65656
HS,63,1739356332321,0.048,-0.88995,8.739,2.8519,-9.59561,19.9554
HS,64,1739356332337,-0.87795,0.39,8.83995,5.37291,4.26209,21.21591
HS,65,1739356332351,0.08595,0.16005,9.55305,3.55305,-12.40024,20.58566
HS,66,1739356332365,0.08595,0.16005,9.55305,2.15074,-4.41965,21.14501
HS,67,1739356332378,-0.054,0.08595,9.309,-0.29937,0.40966,21.0741
HS,68,1739356332391,-0.372,-0.318,10.78605,-1.14233,-4.13604,21.28681
HS,69,1739356332405,-0.372,-0.318,10.78605,0.25998,-1.96954,20.65656
HS,70,1739356332418,-0.66195,0.77805,10.21395,-0.78782,-3.01734,20.58566
HS,71,1739356332431,-0.26505,-1.896,10.00305,-1.34717,-1.75683,20.23902
HS,72,1739356332445,-0.26505,-1.896,10.00305,1.03204,-2.24528,20.23902
HS,73,1739356332460,-0.85395,-0.73395,9.52905,1.86713,-4.63236,20.38083
