ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,1,1739355259208,0.39033,-1.95105,9.70559,-4.95896,0.3662,-10.29175
Abj,2,1739355259224,0.39033,-1.95105,9.70559,0.04578,-12.57287,-10.23072
Abj,3,1739355259243,0.7017,-1.74975,9.78934,-2.63969,0.97653,-8.70488
Abj,4,1739355259259,1.06122,-0.61196,9.77498,-1.54109,-6.53057,-9.92555
Abj,5,1739355259278,0.85753,-2.24806,9.24317,-0.19836,-2.7465,-8.94902
Abj,6,1739355259284,0.74028,-0.36999,9.18335,-1.05283,-3.96717,-8.52178
Abj,7,1739355259291,0.74028,-0.36999,9.18335,-3.73829,-2.1972,-8.21662
Abj,8,1739355259308,0.35683,0.41097,9.32692,-5.01999,-3.662,-6.69841
Abj,9,1739355259325,0.74028,-1.55563,8.40958,-6.36273,2.07513,-6.02704
Abj,10,1739355259351,0.47677,-2.799,9.00838,-1.29696,-2.7465,-7.06461
Abj,11,1739355259361,0.47677,-2.799,9.00838,0.59508,-2.62443,-6.57634
Abj,12,1739355259378,0.72084,-2.502,10.87448,1.02231,-2.5634,-7.36215
Abj,13,1739355259404,0.57966,-1.74018,10.11745,3.70778,-10.49774,-6.14911
Abj,14,1739355259413,0.54138,-1.16052,9.76302,2.79228,2.1972,-7.12564
Abj,15,1739355259424,1.13779,-1.47667,9.99781,1.99884,-7.5071,-5.29464
Abj,16,1739355259442,0.68016,0.11396,9.38226,-4.10449,-0.61033,-4.92844
Abj,17,1739355259470,0.88863,-0.88026,9.92603,-0.01526,-3.41787,-4.19604
Abj,18,1739355259484,0.36879,-2.97637,8.08624,1.02231,1.03757,-3.95191
Abj,19,1739355259501,0.36879,-2.97637,8.08624,2.79228,-4.69957,-3.46364
Abj,20,1739355259511,1.06122,-1.11266,10.60858,3.40261,-6.10334,-3.40261
Abj,21,1739355259532,0.75464,-0.9329,10.27089,-0.07629,-3.35683,-3.03641
