ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,1,1739354584289,0.711,-1.06995,9.78495,-7.93332,-7.37397,1.40231
HS,2,1739354584305,-1.54095,-3.00705,7.389,4.24633,-5.4123,5.74319
HS,3,1739354584325,-1.59405,-1.87905,11.37,2.98583,-5.90075,4.69539
HS,4,1739354584338,-1.59405,-1.87905,11.37,3.96272,7.25579,5.18384
HS,5,1739354584350,0.43095,0.51195,11.35395,2.77312,7.3267,4.69539
HS,6,1739354584368,-3.28905,1.728,8.064,-2.61555,-2.40284,6.79098
HS,7,1739354584382,1.70505,2.84895,9.735,-8.07512,-5.69592,3.99423
HS,8,1739354584400,0.20595,-2.73105,8.754,-9.12292,-15.63817,4.41178
HS,9,1739354584413,0.20595,-2.73105,8.754,-9.33563,-13.18806,5.18384
HS,10,1739354584420,-0.64995,-5.166,9.891,1.16597,-4.78205,9.312
HS,11,1739354584437,-0.64995,-5.166,9.891,5.57774,-6.25527,7.77575
HS,12,1739354584444,-0.231,-4.03605,8.51895,-0.65389,1.51261,6.65705
HS,13,1739354584459,-4.11705,1.767,12.651,0.11817,12.71537,6.79098
HS,14,1739354584464,-4.11705,1.767,12.651,2.56828,4.03362,6.79098
HS,15,1739354584481,0.474,-1.31595,9.486,-4.08089,0.18908,5.81409
HS,16,1739354584485,0.474,-1.31595,9.486,-2.33194,4.73478,6.51525
HS,17,1739354584503,1.02,1.84095,10.329,-3.104,0.323,7.2164
HS,18,1739354584508,1.02,1.84095,10.329,-4.43541,-2.47375,6.44434
HS,19,1739354584524,-1.37295,-1.76595,8.32995,-5.2705,-6.74371,5.39655
HS,20,1739354584534,0.27795,0.651,10.28595,0.11817,-0.51208,6.0268
HS,21,1739354584546,0.27795,0.651,10.28595,-0.30725,-1.77259,6.58615
HS,22,1739354584559,-1.05705,-2.43195,7.66695,5.29413,-7.44487,6.23163
HS,23,1739354584581,-0.77895,1.929,11.505,1.16597,3.47427,6.44434
