ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,1,1739358733442,0.30795,-2.86995,9.92895,-2.40284,2.79675,17.30046
HS,2,1739358733467,-2.01795,-0.94005,11.17395,-1.00053,0.97689,16.5993
HS,3,1739358733475,-0.53595,-1.524,9.735,1.52049,-1.05567,16.18176
HS,4,1739358733483,-0.53595,-1.524,9.735,0.18908,-0.91387,16.81201
HS,5,1739358733491,-0.44505,-0.58995,10.15695,0.54359,2.1665,16.67021
HS,6,1739358733500,-0.44505,-0.58995,10.15695,0.60662,1.95379,16.18176
HS,7,1739358733508,-0.44505,-0.58995,10.15695,-0.92962,0.69328,16.39447
HS,8,1739358733516,-0.46695,-0.138,9.723,-1.00053,2.2374,16.88292
HS,9,1739358733524,-0.46695,-0.138,9.723,-1.84349,3.427,16.11086
HS,10,1739358733533,0.04905,0.426,9.70905,-3.0331,-1.47322,16.39447
HS,11,1739358733541,0.04905,0.426,9.70905,-4.64024,3.21429,17.01685
HS,12,1739358733549,0.16695,-1.21005,7.76895,-1.41807,7.06672,18.14342
HS,13,1739358733557,0.16695,-1.21005,7.76895,-2.26103,4.89234,16.5993
HS,14,1739358733566,0.16695,-1.21005,7.76895,-6.87764,-3.71062,14.92125
HS,15,1739358733574,-1.08705,-1.28205,11.517,-3.93909,5.94802,16.38659
HS,16,1739358733582,-1.08705,-1.28205,11.517,0.18908,10.00527,17.37136
HS,17,1739358733591,-1.08195,-2.592,8.08605,1.10294,4.5457,15.4806
HS,18,1739358733599,-1.08195,-2.592,8.08605,-0.58298,-5.46745,14.70854
HS,19,1739358733607,0.27,0.39495,9.417,2.9937,2.51314,15.55151
HS,20,1739358733616,0.27,0.39495,9.417,2.22164,4.19906,15.76422
HS,21,1739358733624,0.27,0.39495,9.417,1.03204,-4.69539,15.4806
HS,22,1739358733632,-0.55305,-0.207,10.23795,-0.37027,-5.18384,14.00739
HS,23,1739358733640,-0.55305,-0.207,10.23795,-3.0331,6.64918,14.70854
HS,24,1739358733649,-0.00495,-1.27695,9.687,-3.23793,6.85401,15.06306
HS,25,1739358733657,-0.00495,-1.27695,9.687,-4.42753,1.53624,15.4097
HS,26,1739358733665,-1.164,-0.65205,9.33105,-1.27626,-1.40231,14.2201
HS,27,1739358733674,-1.164,-0.65205,9.33105,-5.12869,-0.28361,14.07829
HS,28,1739358733682,-1.164,-0.65205,9.33105,-6.67281,0.27574,14.00739
HS,29,1739358733690,-0.651,-1.026,9.972,-2.04832,4.12816,13.87346
HS,30,1739358733698,-0.651,-1.026,9.972,-0.65389,-2.24528,13.1723
HS,31,1739358733707,-1.08,-1.46205,8.82795,-1.77259,-4.27785,13.31411
HS,32,1739358733715,-1.08,-1.46205,8.82795,-0.22847,-3.29307,12.88869
HS,33,1739358733723,-1.56105,-1.22205,9.345,0.33088,-0.70116,12.40024
HS,34,1739358733732,-1.56105,-1.22205,9.345,2.56828,-1.96166,13.2432
HS,35,1739358733740,-1.56105,-1.22205,9.345,2.07984,-1.54412,13.58984
HS,36,1739358733748,0.219,-1.75905,9.29895,2.29255,-0.91387,12.54205
HS,37,1739358733757,0.219,-1.75905,9.29895,2.8519,2.09559,12.25843
HS,38,1739358733765,-1.98195,-1.11495,9.67095,4.1124,1.46534,12.81778
HS,39,1739358733773,-1.98195,-1.11495,9.67095,4.94749,-1.12658,12.54205
HS,40,1739358733781,-0.795,0.03405,10.197,2.42648,0.20483,11.62818
HS,41,1739358733790,-0.795,0.03405,10.197,4.0415,1.81198,12.32934
HS,42,1739358733798,0.294,-0.12105,9.83295,1.23687,1.32353,11.13973
HS,43,1739358733807,0.294,-0.12105,9.83295,0.60662,4.61661,10.92702
HS,44,1739358733815,0.294,-0.12105,9.83295,2.00893,3.21429,11.76999
HS,45,1739358733823,0.717,-1.38495,9.285,-2.04832,-0.35452,10.02103
HS,46,1739358733832,0.717,-1.38495,9.285,0.18908,10.77734,9.95013
HS,47,1739358733839,0.01095,0.558,9.582,-0.51208,9.30412,10.50948
HS,48,1739358733848,0.01095,0.558,9.582,-5.54623,2.72585,9.67439
HS,49,1739358733857,-1.91805,-2.079,9.32295,0.74843,5.80621,9.31987
HS,50,1739358733869,-1.91805,-2.079,9.32295,2.78099,0.48845,10.65129
HS,51,1739358733876,-1.91805,-2.079,9.32295,2.15074,-4.27785,9.95013
HS,52,1739358733884,-0.29205,-2.03895,10.45095,5.37291,0.06303,9.04414
HS,53,1739358733892,-0.29205,-2.03895,10.45095,5.57774,-1.33141,10.02103
HS,54,1739358733900,-0.12705,-1.05705,10.77,3.82879,-2.80463,9.31987
HS,55,1739358733909,-0.12705,-1.05705,10.77,6.3498,-1.19748,8.68962
HS,56,1739358733917,-0.59595,-2.52495,9.51705,8.09876,-1.75683,9.80832
HS,57,1739358733926,-0.59595,-2.52495,9.51705,8.38237,-6.65705,10.02103
HS,58,1739358733934,-0.273,0.903,11.11395,5.93226,-1.61502,8.20117
HS,59,1739358733942,-0.273,0.903,11.11395,3.19854,2.1665,7.84666
HS,60,1739358733950,-0.273,0.903,11.11395,3.61608,3.427,8.97324
HS,61,1739358733959,-1.056,-0.078,8.32005,0.81933,-1.82774,8.90233
HS,62,1739358733966,-1.056,-0.078,8.32005,-0.37027,-5.74319,7.64182
HS,63,1739358733975,-1.293,-0.492,10.08195,-1.77259,-1.75683,6.16861
HS,64,1739358733983,-1.293,-0.492,10.08195,-2.89129,0.69328,7.01157
HS,65,1739358733992,0.27405,-0.66,9.50295,-3.23793,1.88288,7.08247
HS,66,1739358734000,0.27405,-0.66,9.50295,-3.45064,0.69328,6.65705
HS,67,1739358734008,0.27405,-0.66,9.50295,-6.24739,-4.9081,5.12081
HS,68,1739358734016,-1.92705,-1.21305,10.69305,-2.26103,1.25263,6.52312
HS,69,1739358734024,-1.92705,-1.21305,10.69305,-3.0331,1.39444,6.16861
HS,70,1739358734032,-1.00095,-0.67905,9.441,-2.40284,1.25263,5.53835
HS,71,1739358734042,-1.00095,-0.67905,9.441,-0.85872,1.0478,5.96377
HS,72,1739358734050,-0.915,-1.37295,10.07295,-2.89129,-0.35452,5.33352
HS,73,1739358734058,-0.915,-1.37295,10.07295,-1.27626,-0.0709,4.84507
HS,74,1739358734067,-0.915,-1.37295,10.07295,-3.23793,0.83509,5.33352
HS,75,1739358734074,-0.606,-0.57105,10.83195,-2.67858,0.83509,5.19171
HS,76,1739358734085,-0.606,-0.57105,10.83195,-0.65389,2.58404,4.49056
HS,77,1739358734091,-0.84495,-1.74405,9.10095,-0.85872,2.51314,4.56146
HS,78,1739358734099,-0.84495,-1.74405,9.10095,-2.89129,-0.21271,3.51366
HS,79,1739358734108,-1.48905,-0.54,9.02895,-1.27626,0.41754,3.93121
HS,80,1739358734121,-1.48905,-0.54,9.02895,1.37868,-5.18384,4.84507
HS,81,1739358734129,-0.50295,-0.70305,8.991,1.44958,-0.14181,4.27785
HS,82,1739358734137,-0.50295,-0.70305,8.991,0.81933,2.37921,3.93121
HS,83,1739358734146,-2.44905,-0.609,8.90895,2.56828,4.96325,4.77417
HS,84,1739358734154,-2.44905,-0.609,8.90895,4.52995,1.60715,5.68016
HS,85,1739358734162,-2.44905,-0.609,8.90895,1.30778,-4.20694,4.70327
HS,86,1739358734170,-0.26595,0.405,11.361,0.33088,0.48845,2.95431
HS,87,1739358734179,-0.26595,0.405,11.361,-2.19013,6.01892,4.979
HS,88,1739358734187,-2.34195,-2.35995,9.108,-1.97742,6.22375,4.84507
HS,89,1739358734195,-2.34195,-2.35995,9.108,2.15074,0.62238,4.34875
HS,90,1739358734202,0.91605,0.04605,12.42195,-1.90652,-4.06514,2.5998
HS,91,1739358734207,0.91605,0.04605,12.42195,-2.40284,-1.54412,2.88341
HS,92,1739358734215,0.91605,0.04605,12.42195,-0.71691,4.61661,4.21482
HS,93,1739358734225,-0.34695,-2.96295,7.17795,3.61608,7.55517,5.60926
HS,94,1739358734236,-0.34695,-2.96295,7.17795,6.69644,-6.0268,3.51366
HS,95,1739358734246,-0.747,0.35895,10.48695,3.41125,-4.97113,4.34875
HS,96,1739358734255,-0.747,0.35895,10.48695,6.63342,-4.97113,5.04991
HS,97,1739358734266,-1.908,-0.28395,7.84095,5.71955,-2.66282,3.64759
HS,98,1739358734278,-1.908,-0.28395,7.84095,2.22164,-4.13604,4.34875
HS,99,1739358734289,0.86595,-0.06795,11.47305,1.93803,-2.59192,2.95431
HS,100,1739358734300,-0.462,-1.443,9.13695,1.23687,3.21429,3.93121
HS,101,1739358734312,-0.462,-1.443,9.13695,2.78099,-0.28361,4.49056
HS,102,1739358734322,0.777,-0.21405,10.70205,-0.22847,-2.03257,3.8603
HS,103,1739358734334,0.777,-0.21405,10.70205,3.82879,4.82932,4.41965
HS,104,1739358734344,0.39705,-0.34095,8.60505,0.25998,2.09559,3.30095
HS,105,1739358734355,0.39705,-0.34095,8.60505,2.00893,-1.05567,2.6707
