ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Gar,1,1742632906920,0.07119,-0.89791,7.28016,0.39374,2.38868,4.75111
Gar,2,1742632906931,-1.48235,-0.95474,8.00638,3.19366,-15.04956,6.43106
Gar,3,1742632906940,-1.48235,-0.95474,8.00638,2.91366,-9.30973,5.87108
Gar,4,1742632906948,-0.41396,-0.15314,10.38425,-1.7062,-5.73983,5.66108
Gar,5,1742632906956,-0.41396,-0.15314,10.38425,-4.43612,-10.2897,5.0311
Gar,6,1742632906964,-0.20937,0.38405,12.35773,-5.41609,-1.04997,3.07116
Gar,7,1742632906972,-0.20937,0.38405,12.35773,-1.21621,-5.38984,4.12113
Gar,8,1742632906981,0.16451,-0.332,9.4008,-7.44603,-4.54987,5.45109
Gar,9,1742632906989,0.16451,-0.332,9.4008,-7.93602,-4.19988,6.92105
Gar,10,1742632906998,0.16451,-0.332,9.4008,-5.62608,3.08866,5.31109
Gar,11,1742632907008,-0.38046,-0.83868,9.72982,-2.47618,-2.02994,4.75111
Gar,12,1742632907014,-0.38046,-0.83868,9.72982,0.18374,-4.68986,5.87108
Gar,13,1742632907022,-0.31645,-0.40798,11.9031,-3.59614,-7.06979,8.25101
Gar,14,1742632907031,-0.31645,-0.40798,11.9031,-12.97587,-0.83998,8.531
Gar,15,1742632907040,0.42054,-0.42951,11.51546,-11.71591,-1.11997,9.51097
Gar,16,1742632907047,0.42054,-0.42951,11.51546,-11.29592,-2.51993,12.38089
Gar,17,1742632907056,0.42054,-0.42951,11.51546,-12.06589,1.11997,10.35095
Gar,18,1742632907064,-0.16032,0.04546,10.89392,-9.33598,0.76998,7.83102
Gar,19,1742632907073,-0.16032,0.04546,10.89392,10.26345,-4.89986,7.13104
Gar,20,1742632907081,-0.39541,-0.4349,7.91606,21.67311,-9.65972,7.34103
Gar,21,1742632907090,-0.39541,-0.4349,7.91606,27.34295,-14.83956,11.26092
Gar,22,1742632907098,-0.15314,0.11186,9.56292,17.26324,-10.98968,9.02098
Gar,23,1742632907107,-0.15314,0.11186,9.56292,6.90355,-7.90977,7.69102
Gar,24,1742632907115,-0.15314,0.11186,9.56292,-4.78611,-0.27999,13.15086
Gar,25,1742632907124,-0.60479,0.1651,10.88674,-16.26577,-2.30993,8.74099
Gar,26,1742632907131,-0.60479,0.1651,10.88674,-9.47597,6.30856,8.391
Gar,27,1742632907140,-0.20459,0.1328,11.83012,-4.43612,2.31868,15.46955
Gar,28,1742632907149,-0.20459,0.1328,11.83012,-15.07581,-7.20979,11.40091
Gar,29,1742632907157,-0.20459,0.1328,11.83012,-14.79582,-9.51972,11.9609
Gar,30,1742632907165,-0.55334,-1.24427,9.57787,-5.48609,-8.32975,14.06084
Gar,31,1742632907174,-0.55334,-1.24427,9.57787,0.74373,-8.25976,13.43085
Gar,32,1742632907182,-0.35533,-1.13061,9.7687,-2.12619,-7.83977,13.43085
Gar,33,1742632907190,-0.35533,-1.13061,9.7687,-3.94613,-0.97997,13.36086
Gar,34,1742632907199,-0.40798,-1.75214,8.0997,-2.75617,3.08866,13.50085
Gar,35,1742632907208,-0.40798,-1.75214,8.0997,0.74373,-13.29961,12.45088
Gar,36,1742632907215,-0.40798,-1.75214,8.0997,2.49368,-16.9395,13.22086
Gar,37,1742632907224,-0.64068,-0.36072,10.16411,1.16372,-2.79992,12.38089
Gar,38,1742632907232,-0.64068,-0.36072,10.16411,-0.37624,9.38847,10.14095
Gar,39,1742632907240,0.23689,0.46481,10.81077,0.53373,11.20842,11.12092
Gar,40,1742632907249,0.23689,0.46481,10.81077,0.39374,11.9084,11.40091
Gar,41,1742632907259,-0.73938,-0.21715,9.85843,-0.30624,3.92863,10.49094
Gar,42,1742632907266,-0.73938,-0.21715,9.85843,2.21368,0.97997,8.88099
Gar,43,1742632907275,-0.3655,0.07896,8.98385,3.33365,4.62861,10.14095
Gar,44,1742632907283,-0.3655,0.07896,8.98385,1.8637,-0.76998,8.601
Gar,45,1742632907292,-0.3655,0.07896,8.98385,-4.36612,-2.02994,8.25101
Gar,46,1742632907299,-0.21117,0.4319,10.17488,-2.40618,-11.12967,9.02098
Gar,47,1742632907307,-0.21117,0.4319,10.17488,0.95372,-17.35949,9.37097
Gar,48,1742632907313,0.27876,-1.42792,10.72463,-4.64611,-17.0095,9.72096
Gar,49,1742632907322,0.27876,-1.42792,10.72463,-8.70599,-4.61986,9.09098
Gar,50,1742632907332,0.27876,-1.42792,10.72463,-6.32606,3.29865,10.14095
Gar,51,1742632907340,0.32004,-0.29731,10.08156,-2.12619,-6.7898,9.23098
Gar,52,1742632907348,0.32004,-0.29731,10.08156,-5.62608,6.09857,10.28095
Gar,53,1742632907357,-0.12562,-1.48534,7.38126,-5.69608,7.84852,8.25101
Gar,54,1742632907365,-0.12562,-1.48534,7.38126,-1.8462,4.20863,7.69102
Gar,55,1742632907373,-0.29312,-0.65743,9.79801,4.17363,5.74858,9.72096
Gar,56,1742632907382,-0.29312,-0.65743,9.79801,6.76355,9.24848,9.09098
Gar,57,1742632907390,-0.29312,-0.65743,9.79801,9.14348,12.18839,7.62103
Gar,58,1742632907399,-0.20877,-0.56291,9.04487,7.81352,12.88837,8.81099
Gar,59,1742632907407,-0.20877,-0.56291,9.04487,5.0136,7.28854,8.74099
Gar,60,1742632907415,-0.3667,-0.29731,9.90569,3.75364,2.10869,8.18101
Gar,61,1742632907423,-0.3667,-0.29731,9.90569,1.44371,1.89869,8.74099
Gar,62,1742632907432,-0.5677,0.60538,9.79622,1.8637,9.59847,8.601
Gar,63,1742632907441,-0.5677,0.60538,9.79622,3.33365,4.62861,7.55103
Gar,64,1742632907449,-0.5677,0.60538,9.79622,4.38362,0.97997,7.83102
Gar,65,1742632907457,-0.77827,0.06341,8.50708,2.21368,17.22824,7.48103
Gar,66,1742632907466,-0.77827,0.06341,8.50708,-0.30624,8.68849,5.31109
Gar,67,1742632907473,-0.94397,0.31585,12.69093,-1.6362,2.10869,6.15107
Gar,68,1742632907484,-0.94397,0.31585,12.69093,-5.0661,-6.9298,6.36106
Gar,69,1742632907491,0.03888,-0.93978,8.71945,-10.94593,4.06863,4.40112
Gar,70,1742632907500,0.03888,-0.93978,8.71945,-10.17595,6.79855,4.75111
Gar,71,1742632907508,0.03888,-0.93978,8.71945,-5.62608,10.15845,5.1011
Gar,72,1742632907516,-0.22552,-0.22552,11.77807,0.53373,-6.8598,2.93116
Gar,73,1742632907524,-0.22552,-0.22552,11.77807,-1.5662,-1.95994,3.70114
Gar,74,1742632907533,0.05743,-0.42114,9.78844,-9.89596,18.8382,4.12113
