ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Gar,1,1742633267412,-0.34516,-2.07697,9.56471,1.15497,-1.47871,-3.84989
Gar,2,1742633267424,-0.31645,-1.5655,9.53719,0.94497,2.09119,-2.93991
Gar,3,1742633267432,-0.31645,-1.5655,9.53719,1.50496,-6.93855,-3.77989
Gar,4,1742633267440,-0.31645,-1.5655,9.53719,2.48493,-7.70852,-3.3599
Gar,5,1742633267449,0.03111,-2.14995,8.56989,3.04491,-2.03869,-3.4299
Gar,6,1742633267458,0.03111,-2.14995,8.56989,-0.66498,-10.43844,-3.2899
Gar,7,1742633267467,-0.25184,-1.40219,10.31067,-3.2549,-5.81858,-2.51993
Gar,8,1742633267472,-0.25184,-1.40219,10.31067,-3.74489,-5.32859,-1.81995
Gar,9,1742633267483,0.22792,-1.91785,10.26042,-2.97491,-9.52847,-2.16994
Gar,10,1742633267490,0.22792,-1.91785,10.26042,-1.71495,-0.63873,-1.39996
Gar,11,1742633267499,0.22792,-1.91785,10.26042,-0.59498,-2.45868,-1.67995
Gar,12,1742633267507,-0.27697,-1.89691,9.17707,0.66498,-5.1186,-2.86992
Gar,13,1742633267516,-0.27697,-1.89691,9.17707,-0.45499,-2.24868,-2.93991
Gar,14,1742633267524,-0.45165,-1.68515,10.09891,-1.64495,-5.0486,-4.05988
Gar,15,1742633267532,-0.45165,-1.68515,10.09891,-0.73498,-2.31868,-4.12988
Gar,16,1742633267539,-0.33918,-2.00997,9.72802,1.78495,-3.78864,-3.56989
Gar,17,1742633267548,-0.33918,-2.00997,9.72802,1.85495,-4.83861,-4.40987
Gar,18,1742633267558,-0.33918,-2.00997,9.72802,0.31499,0.76123,-3.4999
Gar,19,1742633267565,0.09571,-1.8,10.38365,-1.08497,-5.1186,-3.07991
Gar,20,1742633267574,0.09571,-1.8,10.38365,-2.06494,-3.01866,-3.4299
Gar,21,1742633267583,-0.19202,-1.64387,10.07977,0.80498,-3.36865,-2.51993
Gar,22,1742633267592,-0.19202,-1.64387,10.07977,1.29496,-6.65855,-3.63989
Gar,23,1742633267600,-0.28594,-2.42034,9.23031,-0.24499,-0.63873,-3.4999
Gar,24,1742633267607,-0.28594,-2.42034,9.23031,0.59498,0.55123,-2.86992
Gar,25,1742633267614,-0.28594,-2.42034,9.23031,5.49484,-9.45847,-5.31984
Gar,26,1742633267628,-0.22851,-1.42911,9.81715,-2.90491,-2.17869,-2.72992
Gar,27,1742633267635,-0.22851,-1.42911,9.81715,-2.83492,-3.57864,-3.3599
Gar,28,1742633267640,0.3667,-2.00519,9.87219,-0.45499,-4.13863,-3.56989
Gar,29,1742633267647,0.3667,-2.00519,9.87219,2.41493,-2.17869,-2.30993
Gar,30,1742633267659,0.02931,-2.08774,9.49472,-0.52498,-7.63853,-2.93991
Gar,31,1742633267667,0.02931,-2.08774,9.49472,-0.24499,-1.96869,-2.16994
Gar,32,1742633267676,0.02931,-2.08774,9.49472,0.94497,-4.06863,-1.53995
Gar,33,1742633267683,-0.2991,-1.07856,9.98884,1.01497,-7.42853,-2.37993
Gar,34,1742633267692,-0.2991,-1.07856,9.98884,0.38499,-1.6187,-0.97997
Gar,35,1742633267700,-0.14297,-1.70489,9.15314,0.45499,-4.90861,-0.90997
Gar,36,1742633267708,-0.14297,-1.70489,9.15314,-0.45499,-5.46859,-1.74995
Gar,37,1742633267716,-0.24646,-2.08834,9.27877,-1.92494,-3.92863,-0.41999
Gar,38,1742633267724,-0.24646,-2.08834,9.27877,-2.27493,-7.70852,-0.90997
Gar,39,1742633267733,-0.24646,-2.08834,9.27877,-4.72486,-1.89869,-1.18996
Gar,40,1742633267738,-0.15135,-1.90828,9.55035,-5.77483,-3.64864,-0.27999
Gar,41,1742633267743,-0.15135,-1.90828,9.55035,-4.79486,-9.24848,-0.20999
Gar,42,1742633267748,-0.15135,-1.90828,9.55035,-2.48493,-12.53838,-1.11997
Gar,43,1742633267756,0.0664,-2.22592,9.29552,2.90491,-3.85864,-0.41999
Gar,44,1742633267775,0.0664,-2.22592,9.29552,-4.51487,-6.58856,-0.55998
Gar,45,1742633267784,-0.23509,-1.27657,9.3667,-5.35484,-6.93855,-0.76998
Gar,46,1742633267790,-0.23509,-1.27657,9.3667,-1.85495,-11.48841,-1.53995
