ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Gar,1,1742633325207,-0.41575,-1.98066,10.31905,-0.94497,0.13125,3.91988
Gar,2,1742633325215,-0.41575,-1.98066,10.31905,1.85495,-2.52868,5.87983
Gar,3,1742633325219,-0.29671,-2.89771,9.22672,2.41493,-2.17869,5.52984
Gar,4,1742633325227,-0.29671,-2.89771,9.22672,1.29496,-2.10869,0.14
Gar,5,1742633325235,-0.29671,-2.89771,9.22672,-0.24499,-2.59867,-0.41999
Gar,6,1742633325247,0.3667,-2.1996,10.0002,-0.80498,-3.29865,-3.56989
Gar,7,1742633325256,0.3667,-2.1996,10.0002,0.24499,-3.29865,-3.2899
Gar,8,1742633325263,-0.22612,-2.69611,9.39661,2.76492,-3.08866,-3.98988
Gar,9,1742633325272,-0.22612,-2.69611,9.39661,-0.52498,-3.92863,-3.4299
Gar,10,1742633325280,-0.02931,-2.16311,10.25504,-2.55492,-5.46859,-3.63989
Gar,11,1742633325289,-0.02931,-2.16311,10.25504,-2.41493,-3.99863,-2.86992
Gar,12,1742633325296,-0.43789,-2.67398,9.83271,1.71495,-4.41862,-3.77989
Gar,13,1742633325304,-0.43789,-2.67398,9.83271,2.34493,-3.29865,-3.4999
Gar,14,1742633325313,-0.43789,-2.67398,9.83271,0.24499,-6.02857,-4.12988
Gar,15,1742633325321,-0.11426,-2.3994,9.74118,-0.52498,-7.56853,-3.3599
Gar,16,1742633325330,-0.11426,-2.3994,9.74118,0.73498,-5.0486,-3.4999
Gar,17,1742633325338,-0.29432,-2.47418,9.61556,1.57495,-6.65855,-3.3599
Gar,18,1742633325347,-0.29432,-2.47418,9.61556,0.38499,-7.00854,-3.07991
Gar,19,1742633325356,-0.05264,-2.3677,9.24527,0.66498,-9.73846,-3.70989
Gar,20,1742633325365,-0.05264,-2.3677,9.24527,3.5349,-4.06863,-2.93991
Gar,21,1742633325372,-0.05264,-2.3677,9.24527,3.95488,-4.13863,-3.00991
Gar,22,1742633325381,0.0664,-2.35573,9.15075,2.90491,-4.27862,-3.07991
Gar,23,1742633325390,0.0664,-2.35573,9.15075,2.76492,-5.88858,-3.56989
Gar,24,1742633325398,-0.36431,-2.92582,8.99522,3.18491,-5.25859,-3.21991
Gar,25,1742633325403,-0.36431,-2.92582,8.99522,3.3249,-7.28854,-3.84989
Gar,26,1742633325414,0.32662,-2.15593,9.66341,1.29496,-4.83861,-2.16994
Gar,27,1742633325422,0.32662,-2.15593,9.66341,0.035,-7.21854,-2.93991
Gar,28,1742633325430,0.32662,-2.15593,9.66341,-1.92494,-3.92863,-1.18996
Gar,29,1742633325441,0.00658,-2.67518,9.83749,1.22496,-6.93855,-2.58992
