ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Ak,1,1739352574500,1.25773,1.54367,8.53909,-23.18886,-0.0267,-2.59773
Ak,2,1739352574524,-0.04636,-1.34686,11.37937,-36.50939,-1.48006,-9.54028
Ak,3,1739352574536,3.40648,-1.91874,9.24258,-26.40837,-3.75355,-9.61275
Ak,4,1739352574552,3.40648,-1.91874,9.24258,-13.55322,-2.31927,-4.53936
Ak,5,1739352574564,0.84138,-0.70319,9.17797,7.65587,-10.75331,-4.44018
Ak,6,1739352574577,1.76979,-3.43819,7.91695,10.73043,-11.65356,-4.40966
Ak,7,1739352574594,-0.64935,-4.41207,12.5016,-1.65172,-8.67437,-8.37301
Ak,8,1739352574615,-0.64935,-4.41207,12.5016,-14.84255,-6.748,-13.73632
Ak,9,1739352574632,1.40369,0.17737,9.03201,-23.31474,-1.65172,-12.90474
Ak,10,1739352574646,1.40369,0.17737,9.03201,-21.76221,-0.33568,-10.6961
Ak,11,1739352574664,2.76042,-2.34467,8.30459,-12.49277,1.56779,-5.16113
Ak,12,1739352574680,0.22164,-3.63201,7.49342,-12.46988,5.21835,-2.20483
Ak,13,1739352574698,0.38674,-3.37837,8.92194,-33.1373,9.0749,-6.09189
Ak,14,1739352574716,2.44696,0.01226,16.57897,-29.75758,6.18726,-8.44549
Ak,15,1739352574732,2.44696,0.01226,16.57897,19.04241,-7.54525,-5.50063
Ak,16,1739352574750,2.74367,0.03619,6.92393,25.93918,-8.85747,-5.56166
Ak,17,1739352574761,2.40868,-0.29402,10.17578,16.78417,-9.89885,-10.53207
Ak,18,1739352574776,1.73629,-1.95942,11.47269,14.52212,-9.90648,-11.76799
Ak,19,1739352574797,0.19292,-2.35663,7.78535,12.25626,-10.92497,-13.54178
Ak,20,1739352574813,0.38913,-4.51256,8.53669,11.58489,-12.21811,-13.78591
Ak,21,1739352574831,0.38913,-4.51256,8.53669,9.97514,-8.92613,-10.25742
Ak,22,1739352574848,0.25513,-1.25833,4.80868,2.78083,-4.29522,-8.39209
Ak,23,1739352574868,0.51356,-0.21266,10.69502,-26.4694,19.60315,2.9296
Ak,24,1739352574886,0.26471,-0.15284,14.24118,0.48445,17.83318,12.20286
Ak,25,1739352574898,1.5999,-3.3353,7.99831,5.24887,26.4427,21.75458
