ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,1,1739352575946,1.40295,-2.68095,5.95695,0.81933,10.25738,-7.34245
HS,2,1739352575962,2.02305,2.58795,8.06205,7.95695,15.01579,-3.97848
HS,3,1739352575978,-0.945,-0.612,6.52395,8.09876,-19.90813,-7.61819
HS,4,1739352575994,0.76095,-2.94405,8.96895,7.53941,2.76524,-4.46692
HS,5,1739352576019,0.23205,-5.30505,13.21395,11.03732,0.03939,-3.56093
HS,6,1739352576033,0.27105,3.651,14.088,5.92438,0.11029,-4.96325
HS,7,1739352576051,2.55,-1.467,8.28405,-4.00999,11.44698,-4.12028
HS,8,1739352576066,2.55,-1.467,8.28405,-0.7957,12.14814,0.00788
HS,9,1739352576081,-2.44395,0.17895,7.08495,-5.97165,-6.9643,0.56723
HS,10,1739352576098,-2.7,-2.262,15.201,-3.80516,-14.87398,4.13604
HS,11,1739352576113,2.14095,-2.169,16.46295,-19.20698,9.13868,2.11135
HS,12,1739352576132,-0.18795,-4.908,6.79305,-12.06148,-6.53888,6.0268
HS,13,1739352576147,1.33095,-2.38905,12.405,-0.58298,-4.37238,5.9559
HS,14,1739352576165,1.51995,0.387,12.117,-9.12292,-11.2973,3.8603
HS,15,1739352576185,-0.73905,-2.64705,5.418,-18.43492,-6.60978,5.60926
HS,16,1739352576200,-0.73905,-2.64705,5.418,5.36503,-7.38184,3.93121
HS,17,1739352576215,0.28995,-3.39,16.2,12.08511,-5.49108,5.04991
HS,18,1739352576233,-0.40095,-2.463,4.83195,-3.24581,5.42806,0.63813
HS,19,1739352576248,0.04995,0.474,16.96395,4.24633,4.52207,3.15915
HS,20,1739352576264,0.54795,0.18195,4.89405,-11.78574,-10.95066,2.5998
HS,21,1739352576279,2.40195,-0.47805,4.53,-3.37973,8.92597,4.49056
HS,22,1739352576300,0.33495,-2.925,10.06605,0.53572,-7.87029,2.45799
HS,23,1739352576316,5.08605,3.29895,11.57595,1.86713,9.06777,2.52889
HS,24,1739352576332,5.08605,3.29895,11.57595,-4.1518,15.44121,2.04045
HS,25,1739352576353,-0.30795,1.932,3.996,-18.71065,6.41283,0.99265
HS,26,1739352576375,0.02895,-3.35895,4.056,-2.96219,-9.40654,3.44276
HS,27,1739352576388,0.02895,-3.35895,4.056,10.19435,-9.69015,2.5998
HS,28,1739352576408,0.939,-0.993,2.952,-1.70168,42.25063,3.7185
HS,29,1739352576422,-1.92195,0.699,9.678,-0.65389,-15.63817,3.7894
HS,30,1739352576442,1.28805,-0.141,0.33795,2.07984,-11.72272,-2.78887
HS,31,1739352576462,-1.00005,-5.44605,25.956,31.26846,5.08142,4.00211
HS,32,1739352576486,-0.219,-4.27305,7.39095,-3.37973,-5.07354,0.4333
HS,33,1739352576506,-5.68095,-2.92995,7.36995,-1.63078,-3.52942,1.26839
HS,34,1739352576517,0.65805,-0.744,13.33095,0.46481,5.01052,2.18225
HS,35,1739352576533,0.24405,-0.543,6.666,-4.00999,-2.62343,1.82774
HS,36,1739352576550,-0.79605,2.68605,10.95105,-4.43541,2.63131,1.26839
HS,37,1739352576565,-0.79605,2.68605,10.95105,-2.19013,-4.30148,2.7416
HS,38,1739352576585,-0.29805,-2.68095,6.666,-2.89129,12.21904,1.12658
HS,39,1739352576597,-1.94295,-2.50605,18.939,5.71955,-7.79939,1.41019
HS,40,1739352576611,0.402,-1.716,4.95405,1.86713,-0.30725,-0.62238
HS,41,1739352576630,0.297,-1.81905,14.91405,-2.33194,0.1812,-0.19695
HS,42,1739352576645,-0.66495,-4.73295,7.64505,1.09507,-4.44329,0.49632
HS,43,1739352576663,1.34295,-0.186,14.32695,-1.55988,2.4895,-1.59927
HS,44,1739352576675,1.34295,-0.186,14.32695,-1.84349,-1.29202,0.3624
HS,45,1739352576692,1.40505,-2.03205,9.43305,-1.07143,4.02574,-0.82721
HS,46,1739352576709,-1.392,-2.88705,9.67305,4.31724,-0.17332,-0.26786
HS,47,1739352576724,-0.906,-3.46905,8.92605,4.80568,2.14286,-1.38656
HS,48,1739352576739,0.78495,0.72,12.01005,3.47427,4.52207,1.06355
HS,49,1739352576754,0.78495,0.72,12.01005,4.31724,21.87768,-1.88288
HS,50,1739352576766,-5.66595,-2.46795,6.81195,5.64865,17.19016,3.08824
HS,51,1739352576776,-5.66595,-2.46795,6.81195,2.42648,17.26107,0.14969
HS,52,1739352576792,3.49305,-1.692,8.26995,11.94331,-18.37189,-0.40966
HS,53,1739352576810,-0.06405,-2.06595,6.69,8.86294,-14.37766,-2.51314
HS,54,1739352576827,3.11295,4.86705,13.98705,-2.68646,7.74424,-1.88288
HS,55,1739352576843,-0.71205,-2.013,4.75005,0.39391,8.36662,2.11135
HS,56,1739352576856,-0.31305,-2.48505,5.19105,-0.44118,-17.87557,2.7416
HS,57,1739352576867,-0.31305,-2.48505,5.19105,7.18489,-26.98273,4.27785
HS,58,1739352576883,-0.64995,-1.15095,10.59495,3.61608,7.24792,-1.88288
HS,59,1739352576902,2.088,3.663,5.06595,-6.25527,-9.05989,-3.07249
HS,60,1739352576919,2.59095,-0.39195,12.462,-6.88552,-1.78047,-2.01681
HS,61,1739352576936,-0.138,-2.87505,5.57895,-1.63078,-5.34928,-0.62238
HS,62,1739352576949,0.99405,-2.62605,10.65195,2.42648,18.10403,-1.25263
HS,63,1739352576966,0.99405,-2.62605,10.65195,9.49319,-9.76105,0.14969
HS,64,1739352576979,-0.18105,0.91905,3.04995,3.19854,6.75947,1.19748
HS,65,1739352576996,2.196,-0.306,15.08595,0.89023,7.11399,1.26839
HS,66,1739352577013,3.654,-0.51195,10.161,-3.104,15.44121,2.18225
HS,67,1739352577028,2.121,-1.27995,11.92395,2.98583,9.83983,2.32406
HS,68,1739352577042,2.121,-1.27995,11.92395,7.74424,8.30359,2.7416
HS,69,1739352577058,-2.35005,-0.96195,4.27605,3.68698,1.64654,2.6707
HS,70,1739352577074,-0.80595,-2.66205,16.935,6.2789,6.05831,2.04045
HS,71,1739352577090,-0.327,1.704,10.50105,-1.9853,3.04885,-0.89811
HS,72,1739352577106,1.85295,-1.881,10.245,-5.90075,5.78258,4.70327
HS,73,1739352577120,1.85295,-1.881,10.245,-5.48321,18.45067,-0.7563
HS,74,1739352577133,-3.696,-4.371,11.22705,-5.3414,-0.37815,2.32406
HS,75,1739352577149,0.57705,-5.49405,12.285,-9.46956,12.21904,-1.67017
HS,76,1739352577164,0.618,0.50505,10.17795,-7.44487,6.61766,-0.26786
HS,77,1739352577178,0.618,0.50505,10.17795,-1.28414,-12.97535,2.52889
HS,78,1739352577191,3.54105,-3.90705,8.727,-10.38343,22.16129,-2.01681
HS,79,1739352577208,0.54405,-1.671,10.38195,0.53572,-11.92755,0.29149
HS,80,1739352577223,-2.319,-3.129,9.23505,-7.09035,18.23796,0.42542
HS,81,1739352577239,0.927,0.71295,7.56105,1.51261,-0.03151,-1.95379
HS,82,1739352577255,0.927,0.71295,7.56105,-5.76682,14.52734,-2.44223
HS,83,1739352577270,-2.31195,-4.347,10.78395,-1.9853,-6.33405,-3.49003
