ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
RV,1,1739351944436,0.1989,-2.43769,10.34118,-21.22435,7.38885,-26.88519
RV,2,1739351944466,-0.68166,-2.7344,8.1685,22.10171,3.13559,-4.13501
RV,3,1739351944486,-0.71994,-2.68176,9.92483,-45.44696,-24.40953,3.6887
RV,4,1739351944503,1.20389,2.17807,8.96292,-34.45333,-9.155,-6.67552
RV,5,1739351944538,-0.7678,-0.98764,8.77867,7.32019,-8.55611,10.37949
RV,6,1739351944567,-2.26331,-5.65364,6.07956,-24.91687,-36.18134,30.92102
RV,7,1739351944585,3.11815,-1.59063,7.95793,-36.49031,17.85607,-29.89109
RV,8,1739351944602,2.92672,2.21635,14.08834,-31.91282,11.65356,-21.17857
RV,9,1739351944615,2.92672,2.21635,14.08834,27.78925,5.44341,6.38561
RV,10,1739351944630,1.82842,0.18963,7.5344,23.76868,5.84394,3.64674
RV,11,1739351944652,3.46511,-1.36092,9.88655,-16.73458,8.65911,-16.65066
RV,12,1739351944665,0.33051,-2.77747,12.60479,-19.092,-1.99503,-7.82371
RV,13,1739351944685,0.34008,1.16112,9.51087,-18.05062,14.33521,-25.09615
RV,14,1739351944703,1.90499,-1.20299,9.89372,22.3611,8.86509,-2.83042
RV,15,1739351944713,1.90499,-1.20299,9.89372,20.65979,8.25476,-2.86094
RV,16,1739351944732,0.39033,-3.64606,7.59422,-36.94044,14.36191,-33.17545
RV,17,1739351944751,-1.43779,0.28295,13.33221,-47.5755,-10.66177,-9.17408
RV,18,1739351944778,-0.98554,0.08674,10.56132,21.58674,21.79272,-10.15061
RV,19,1739351944796,1.24457,-2.52862,5.28754,25.09234,6.07282,7.0608
RV,20,1739351944809,-0.04516,-6.45045,11.96352,5.37475,-12.8933,18.73343
RV,21,1739351944823,-3.52672,-0.15733,10.57089,-21.77365,-7.30874,3.65437
RV,22,1739351944842,0.26351,-1.68395,8.42453,7.87712,2.29257,7.2439
RV,23,1739351944860,0.71097,-2.26062,8.8672,14.59079,-1.33892,14.03386
RV,24,1739351944875,0.71097,-2.26062,8.8672,36.39114,1.17108,19.34376
RV,25,1739351944894,1.33789,-2.3659,8.38624,-7.5338,-15.49103,19.13014
RV,26,1739351944913,0.63918,-2.04766,10.15215,-29.1358,-18.33671,12.94289
RV,27,1739351944931,-2.84237,-3.28475,11.99462,2.59392,-0.63704,5.47393
RV,28,1739351944954,1.41924,-4.5673,8.83131,2.11328,7.56814,-3.23858
RV,29,1739351944971,1.10339,-1.58345,9.13998,-28.72001,-12.46225,7.20194
RV,30,1739351944990,1.2685,-1.89452,9.88415,-24.43242,-8.78117,6.88151
RV,31,1739351945003,0.7014,0.36431,12.04487,-22.69678,-3.99768,3.70015
RV,32,1739351945019,0.21805,-8.06561,7.96272,-10.94404,3.29962,1.14056
RV,33,1739351945034,0.21805,-8.06561,7.96272,-2.11328,9.84163,-1.09097
RV,34,1739351945050,2.70897,-0.34397,9.70708,-36.46743,25.67216,-31.65724
RV,35,1739351945068,-0.00449,1.28794,9.77647,-22.53275,-6.37799,10.37567
RV,36,1739351945084,-3.6344,-3.22493,11.54716,-7.03409,0.83158,9.09016
RV,37,1739351945100,0.45254,-6.90987,9.75973,-7.21719,4.93989,4.38677
RV,38,1739351945118,0.45254,-6.90987,9.75973,1.78523,6.04612,5.39382
RV,39,1739351945142,2.59412,0.47198,10.28375,-38.13822,15.42618,-21.83087
RV,40,1739351945153,2.59412,0.47198,10.28375,14.56027,-11.66881,24.67274
RV,41,1739351945166,0.84975,0.50548,10.74078,18.35578,-5.98127,19.34376
RV,42,1739351945178,0.84975,0.50548,10.74078,16.95964,-4.37151,16.29209
RV,43,1739351945194,1.81884,-5.97189,9.91047,-20.87722,-21.36168,18.86312
RV,44,1739351945210,0.36401,2.58963,12.99961,-16.17765,-14.62512,12.55761
RV,45,1739351945226,-1.81585,-1.08096,8.4006,14.15974,-11.10807,18.32908
RV,46,1739351945246,-0.04277,-3.03111,9.21177,43.32987,-5.11917,20.75134
RV,47,1739351945259,2.66351,-5.05304,5.48614,38.75237,-4.27615,18.36723
RV,48,1739351945277,2.66351,-5.05304,5.48614,-8.12125,1.9607,-2.85712
RV,49,1739351945297,0.67029,1.32861,14.6028,-18.72961,-3.15466,-1.58305
RV,50,1739351945314,-1.02622,-1.50449,6.01257,8.64766,19.7214,-16.31116
RV,51,1739351945331,0.72293,-3.03829,13.2365,6.85099,9.94081,-6.71367
RV,52,1739351945347,0.85454,-3.48574,7.74497,-11.99306,-5.21072,3.26147
RV,53,1739351945363,1.24935,-2.35633,6.9003,-27.73203,-9.8874,4.44781
RV,54,1739351945389,-0.13848,-1.65524,15.28236,-28.98703,-11.93965,7.73979
RV,55,1739351945411,-0.37777,-4.58644,7.16351,6.74037,-4.17316,15.23545
RV,56,1739351945428,-2.63659,-1.10967,8.72842,-31.6458,-26.47703,28.17071
RV,57,1739351945442,-1.63878,-3.07896,13.28675,-11.90532,-13.9919,19.03859
RV,58,1739351945461,2.43859,-3.38525,7.65643,-6.91966,-2.88001,7.09131
RV,59,1739351945487,1.89781,-0.14058,9.54676,1.02994,5.01618,-0.26321
RV,60,1739351945504,-0.68883,-4.02413,10.13779,13.85457,6.68697,0.53404
RV,61,1739351945515,-0.68883,-4.02413,10.13779,-0.7057,4.17316,-3.50942
RV,62,1739351945523,-0.08584,-2.7009,10.57807,-0.17547,3.25003,-3.2691
RV,63,1739351945543,3.434,-1.35135,9.25245,18.13072,10.92879,-6.28262
RV,64,1739351945565,-2.48584,1.18983,11.57109,17.45554,-3.96335,8.03352
RV,65,1739351945580,-2.48584,1.18983,11.57109,20.20204,-3.48272,8.59426
RV,66,1739351945594,-2.56481,-2.29412,8.98206,13.71343,-3.5819,8.54086
RV,67,1739351945612,1.04596,-4.46919,10.11386,11.43231,-7.43463,13.1565
RV,68,1739351945630,-0.14566,-5.61775,8.3025,9.58987,-6.64501,11.72985
RV,69,1739351945644,-1.58375,1.50808,11.77448,-5.3366,-6.42376,6.96925
RV,70,1739351945664,-2.09581,-3.13161,8.10868,0.28228,-5.42052,7.55288
RV,71,1739351945679,-2.09581,-3.13161,8.10868,4.01294,9.97514,-7.31256
RV,72,1739351945694,0.95982,-4.71805,9.83869,-17.57761,-1.6479,-1.22067
RV,73,1739351945712,0.55783,-3.26321,9.25484,-13.3396,-0.32805,-2.09039
RV,74,1739351945741,2.1658,-0.36311,11.7697,-14.28943,2.7198,-5.87065
RV,75,1739351945754,0.31854,-3.04068,8.8361,-5.98127,4.27234,-6.69078
RV,76,1739351945762,-0.32273,-0.82493,9.65923,-3.72685,4.75297,-7.54143
RV,77,1739351945773,-0.32273,-0.82493,9.65923,-4.52791,4.35626,-8.54848
RV,78,1739351945793,-0.73908,-2.77029,9.57548,-4.5508,4.1579,-10.63888
RV,79,1739351945815,0.55065,-3.32303,9.35055,-3.97098,4.54317,-12.43936
RV,80,1739351945835,0.45254,-2.84208,9.85065,-4.19604,6.03467,-15.80764
