ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,1,1739356331606,0.27069,-1.02861,9.51626,-3.73829,-6.65264,-6.45428
Abj,2,1739356331623,0.22283,-1.05284,9.85873,0.04578,-14.28181,-4.31811
Abj,3,1739356331641,0.08614,-1.44556,8.94138,1.69368,-7.8733,-4.92844
Abj,4,1739356331654,0.08614,-1.44556,8.94138,0.71714,-9.09397,-5.11154
Abj,5,1739356331681,0.03111,-0.67418,9.50668,1.02231,-4.69957,-3.95191
Abj,6,1739356331690,0.03111,-0.67418,9.50668,-1.48006,-12.51184,-3.64674
Abj,7,1739356331700,0.50548,0.20728,10.64686,-0.86973,-9.27707,-3.15848
Abj,8,1739356331712,0.50548,0.20728,10.64686,-3.55519,-5.8592,-1.87678
Abj,9,1739356331736,0.17468,-0.95683,9.63111,-2.39556,-12.4508,-0.65611
Abj,10,1739356331746,0.35444,-1.1342,10.11027,-0.07629,-2.44133,-0.77818
Abj,11,1739356331782,0.13639,-1.17248,10.13659,1.63264,-5.24887,1.48006
Abj,12,1739356331797,0.27787,-1.00469,10.16531,0.28991,-7.5071,2.57866
Abj,13,1739356331811,0.21805,-0.62871,9.92363,-0.56456,-2.07513,3.06693
Abj,14,1739356331830,0.2659,-0.62632,10.15335,-2.33453,-3.23477,4.22656
Abj,15,1739356331845,0.34008,-0.82762,10.51765,-0.99179,-13.54941,5.75239
Abj,16,1739356331853,0.34008,-0.82762,10.51765,-1.84626,-0.7324,5.26413
Abj,17,1739356331860,0.23958,-1.38335,9.64068,-0.56456,1.831,5.38619
Abj,18,1739356331879,0.32812,-0.50907,10.61097,-2.51763,-5.55404,6.54583
Abj,19,1739356331896,0.32812,-0.50907,10.61097,-2.39556,-5.6761,6.85099
Abj,20,1739356331923,0.36162,-1.20598,9.88266,2.48711,-9.7043,6.85099
Abj,21,1739356331936,0.36162,-1.20598,9.88266,2.12091,-3.72303,8.37683
Abj,22,1739356331956,0.23719,-0.21416,9.4684,1.75471,-13.30527,8.37683
Abj,23,1739356331976,0.24197,-0.33171,9.38465,1.63264,-2.25823,8.98716
Abj,24,1739356331993,0.08853,-0.44417,8.85285,-1.11386,8.2395,9.47543
Abj,25,1739356332007,0.20608,-0.13041,9.75823,-1.60213,-10.19257,8.74303
Abj,26,1739356332024,-0.20369,-1.39531,9.08495,-0.19836,3.96717,12.83226
Abj,27,1739356332045,0.52702,-0.46331,9.93081,-1.72419,0.5493,8.86509
Abj,28,1739356332062,0.52702,-0.46331,9.93081,1.69368,-13.12217,10.94023
Abj,29,1739356332077,-0.1008,-1.11506,9.77498,0.16784,9.5212,11.73366
Abj,30,1739356332087,0.29701,-1.74975,9.303,2.36504,0.12207,9.10923
Abj,31,1739356332095,0.29701,-1.74975,9.303,3.40261,-18.98137,8.31579
