ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,1,1739354838181,0.72084,-1.73539,9.47797,-0.50353,-2.5634,0.86973
Abj,2,1739354838190,0.72084,-1.73539,9.47797,0.41198,-6.16437,1.72419
Abj,3,1739354838204,0.63948,-1.41446,10.44318,2.12091,-4.88267,1.90729
Abj,4,1739354838224,0.5007,-2.19781,9.61197,-0.62559,-4.2113,3.49416
Abj,5,1739354838249,0.95803,-1.26341,10.72134,-1.35799,-12.32874,3.61623
Abj,6,1739354838280,0.88385,-1.41924,9.07299,-1.48006,-4.3944,5.50826
Abj,7,1739354838304,0.87188,-1.35942,10.30439,2.67021,-8.36157,8.80406
Abj,8,1739354838324,1.03968,-3.28535,9.07777,0.90024,-0.7324,7.82753
Abj,9,1739354838341,0.18185,-0.02752,9.169,-0.44249,-4.9437,8.682
Abj,10,1739354838357,0.71366,-1.60379,10.22064,0.83921,-8.48364,11.12333
Abj,11,1739354838370,0.71366,-1.60379,10.22064,-0.50353,-2.9296,11.85573
Abj,12,1739354838383,1.13539,-1.45753,9.28864,-1.35799,-3.17373,12.28296
Abj,13,1739354838393,0.5318,-1.44078,10.02413,-0.25939,-11.04704,12.46606
Abj,14,1739354838406,0.5318,-1.44078,10.02413,-1.78523,-0.24413,12.64916
Abj,15,1739354838423,1.03729,-2.86361,10.98964,2.67021,-13.1832,14.11396
Abj,16,1739354838440,0.28983,-2.68176,9.42294,0.47301,-7.20194,14.3581
Abj,17,1739354838459,1.22154,-0.89222,10.88405,2.18194,-14.46491,15.2736
Abj,18,1739354838476,0.53659,-1.19163,9.74148,1.99884,-5.493,15.8229
Abj,19,1739354838490,0.53659,-1.19163,9.74148,1.87678,-4.88267,15.4567
Abj,20,1739354838523,1.066,-1.15813,9.96192,2.42608,0,16.31116
Abj,21,1739354838539,0.75464,-1.04088,9.62393,-2.76176,-8.6057,17.53183
Abj,22,1739354838552,1.20957,-1.41685,10.03849,-0.19836,-3.78407,18.0201
Abj,23,1739354838562,1.20957,-1.41685,10.03849,0.22888,-4.7606,16.5553
Abj,24,1739354838571,0.5988,-2.22413,9.64068,0.83921,-13.30527,17.04356
Abj,25,1739354838591,0.5988,-2.22413,9.64068,2.79228,3.96717,18.5694
Abj,26,1739354838606,1.13779,-1.80957,10.87927,-1.72419,-9.64327,19.24077
Abj,27,1739354838625,1.066,-1.50538,9.72952,-0.80869,-4.3944,22.10933
Abj,28,1739354838641,0.95563,-1.56999,9.55215,-0.86973,-18.24897,20.9497
Abj,29,1739354838659,0.55095,-1.61097,9.64816,2.30401,8.66674,20.4004
Abj,30,1739354838676,0.71605,-2.57617,9.50429,5.35568,-3.2958,21.3159
Abj,31,1739354838703,1.03729,-1.83829,9.43729,6.51531,-0.1831,21.74313
