ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,1,1739358500810,0.37358,-0.71246,9.21207,-0.44249,15.67794,1.23593
Abj,2,1739358500826,0.37358,-0.71246,9.21207,-0.38146,9.76534,0.32043
Abj,3,1739358500846,0.02154,-0.47049,9.47558,-0.86973,12.817,-0.71714
Abj,4,1739358500863,0.41426,-0.63111,9.70798,3.64674,7.324,-0.83921
Abj,5,1739358500876,0.09093,-1.31635,9.65055,1.57161,12.38977,-2.30401
Abj,6,1739358500893,0.07418,-1.22034,10.32114,5.05051,6.34747,-2.54814
Abj,7,1739358500911,0.07418,-1.22034,10.32114,3.76881,7.56814,-4.07398
Abj,8,1739358500930,0.16989,-0.89462,10.37857,1.44954,4.69957,-4.56224
Abj,9,1739358500946,0.4334,-0.1998,11.03271,-1.05283,8.17847,-4.68431
Abj,10,1739358500970,-0.07687,-0.16152,9.25753,-3.31106,11.65737,-5.84394
Abj,11,1739358500978,0.45733,-0.59282,10.0026,-1.84626,7.01884,-6.27118
Abj,12,1739358500997,-0.31137,-2.24566,8.78794,-1.23593,13.36631,-7.54525
Abj,13,1739358501011,-0.31137,-2.24566,8.78794,5.11154,6.10334,-7.30112
Abj,14,1739358501031,0.41186,-1.19163,10.28525,2.60918,7.44607,-9.01005
Abj,15,1739358501048,0.10768,0.04457,10.47219,0.53404,3.96717,-9.19315
Abj,16,1739358501064,0.00718,-0.15673,10.62294,-3.37209,7.01884,-10.04762
Abj,17,1739358501081,-0.15583,-0.47049,9.80369,-4.40966,4.27234,-10.29175
Abj,18,1739358501115,0.33529,-0.69571,10.08395,-4.34863,6.16437,-12.18378
Abj,19,1739358501133,-0.0335,-2.36291,9.74387,-2.57866,3.1127,-13.34342
Abj,20,1739358501149,0.17946,-1.54846,11.04946,-1.23593,2.1972,-14.01478
Abj,21,1739358501164,0.11964,-1.1677,10.44557,-1.54109,4.08923,-15.23545
Abj,22,1739358501178,0.2348,-1.19641,9.72712,-2.21246,1.95307,-15.72372
Abj,23,1739358501192,0.2348,-1.19641,9.72712,-0.38146,4.3944,-16.57819
Abj,24,1739358501211,0.2683,-1.22513,8.97009,0.96128,1.2817,-17.73782
Abj,25,1739358501223,0.12682,-0.90419,9.42772,1.87678,-1.58687,-19.08055
Abj,26,1739358501229,0.12682,-0.90419,9.42772,1.20541,-1.22067,-18.95849
Abj,27,1739358501248,0.14357,-0.54975,9.78216,-0.07629,0.7324,-20.42329
Abj,28,1739358501264,0.20847,-1.08395,10.18714,-0.50353,-6.53057,-21.09465
Abj,29,1739358501281,0.22283,-1.88644,8.69462,0.77818,2.5634,-20.66742
Abj,30,1739358501299,0.71366,-0.6,10.29243,5.23361,-2.3803,-22.31532
Abj,31,1739358501323,0.22762,-0.62154,9.58804,0.77818,5.98127,-22.62049
Abj,32,1739358501335,0.22762,-0.62154,9.58804,2.05988,-4.2113,-22.31532
Abj,33,1739358501352,0.7328,-0.53539,9.42294,1.20541,1.831,-22.98669
Abj,34,1739358501363,0.32094,-0.78455,9.06102,1.57161,-1.34273,-22.13222
Abj,35,1739358501380,0.6323,-1.09352,10.12702,3.95191,-3.90613,-22.43739
Abj,36,1739358501397,0.41904,-1.53888,10.47937,5.47774,-4.45543,-23.59702
Abj,37,1739358501416,0.48873,-1.0672,10.27328,3.89088,-1.70893,-23.47495
Abj,38,1739358501433,0.48873,-1.0672,10.27328,2.73124,-5.6761,-22.74255
Abj,39,1739358501449,0.75942,-1.08634,10.25175,3.28054,-2.68547,-22.86462
Abj,40,1739358501466,0.14596,-1.03101,9.6697,1.63264,-2.9296,-22.37635
Abj,41,1739358501498,0.88385,-0.533,10.58226,-0.44249,-6.2254,-21.03362
Abj,42,1739358501513,0.62752,-0.69811,9.79412,-1.17489,-6.83574,-21.09465
Abj,43,1739358501529,0.25872,-0.84197,9.59043,0.22888,-6.10334,-19.69089
Abj,44,1739358501544,0.48634,-0.52822,9.40619,0.47301,-3.96717,-18.83642
Abj,45,1739358501560,0.6658,-1.07438,9.59522,2.18194,-6.2254,-18.22609
Abj,46,1739358501574,0.6658,-1.07438,9.59522,-0.19836,-2.1972,-18.40919
Abj,47,1739358501582,0.22044,-0.4992,9.58565,0.83921,-7.6902,-17.18852
Abj,48,1739358501599,0.42383,-0.60479,9.33171,0.04578,-4.7606,-17.55472
Abj,49,1739358501615,0.42383,-0.60479,9.33171,-0.50353,-8.11744,-16.70025
Abj,50,1739358501632,-0.08405,-1.17488,8.94138,0.77818,-6.7747,-17.61575
Abj,51,1739358501648,0.58205,-1.09831,10.12702,0.28991,-14.95317,-16.27302
Abj,52,1739358501674,0.27069,-0.09212,10.34746,-3.98243,-10.6198,-14.68615
Abj,53,1739358501694,1.03968,-0.44177,10.30439,-3.12796,-6.16437,-13.58755
Abj,54,1739358501711,0.38554,-1.8673,9.49472,-2.09039,-6.4085,-13.16032
Abj,55,1739358501724,0.54138,-2.04676,10.50569,-0.93076,-7.56814,-12.12275
Abj,56,1739358501734,0.54138,-2.04676,10.50569,2.05988,-9.27707,-11.75655
Abj,57,1739358501749,0.45494,-0.66939,10.64926,-0.68663,-11.04704,-10.78002
Abj,58,1739358501762,0.60838,-1.01186,10.08635,-2.82279,-7.38504,-9.49832
Abj,59,1739358501781,0.75942,-0.92572,10.94627,-1.35799,-11.5353,-8.76592
Abj,60,1739358501797,0.12921,-1.52692,10.20868,-3.43313,-5.24887,-7.48422
Abj,61,1739358501815,0.12921,-1.52692,10.20868,-1.72419,-10.13154,-5.66084
Abj,62,1739358501831,0.88863,-0.4657,9.92603,0.04578,-0.79343,-5.53878
Abj,63,1739358501849,0.32572,-1.23709,9.46601,-3.73829,-7.26297,-3.76881
Abj,64,1739358501866,0.57009,0.01555,10.78595,-3.18899,-10.68084,-1.75471
Abj,65,1739358501891,0.38315,-0.75793,9.61915,-5.81343,-8.72777,0.44249
Abj,66,1739358501908,0.61555,-2.38953,9.79173,-3.86036,-2.0141,0.50353
Abj,67,1739358501922,-0.1319,-3.30449,9.1355,1.26644,-8.2395,1.84626
Abj,68,1739358501933,-0.1319,-3.30449,9.1355,3.09744,-6.34747,0.56456
Abj,69,1739358501955,0.85274,-1.6325,9.91646,0.53404,-10.4367,4.16553
Abj,70,1739358501971,0.28026,1.2326,9.60479,-3.67726,-3.72303,5.20309
Abj,71,1739358501989,0.60598,0.3679,9.34607,-3.37209,-1.15963,7.52236
Abj,72,1739358501999,0.05743,-1.58704,8.28724,-3.98243,2.68547,6.91203
Abj,73,1739358502015,0.05743,-1.58704,8.28724,2.85331,-6.83574,8.37683
Abj,74,1739358502035,-0.15344,-2.92373,9.18814,3.34158,-3.41787,8.19373
Abj,75,1739358502050,0.22762,-0.41785,9.89701,-0.19836,-15.19731,6.97306
Abj,76,1739358502067,-0.23001,0.11874,10.17009,-6.36273,-16.90624,9.35336
Abj,77,1739358502084,0.78335,-1.74736,9.65055,4.01294,-9.46017,8.86509
Abj,78,1739358502107,0.26112,-3.05773,8.72333,8.64385,14.51831,6.42376
Abj,79,1739358502118,0.29462,-1.29212,10.29961,6.39324,-16.17384,8.49889
Abj,80,1739358502131,0.29462,-1.29212,10.29961,7.85042,-4.51647,6.97306
Abj,81,1739358502148,0.20608,0.05892,10.70669,2.42608,-13.12217,8.80406
Abj,82,1739358502168,0.44536,-0.36999,9.36282,3.15848,4.3944,5.99653
Abj,83,1739358502184,0.20369,-0.82283,9.71277,-3.49416,0.30517,7.09513
Abj,84,1739358502200,0.6682,-1.75214,11.31775,0.35094,-8.6057,5.87446
Abj,85,1739358502218,0.6682,-1.75214,11.31775,1.32748,-3.78407,7.58339
Abj,86,1739358502242,0.27069,-2.52832,9.236,4.44018,-9.94844,6.66789
Abj,87,1739358502258,0.86231,-0.44656,11.24328,-0.56456,4.3944,6.42376
Abj,88,1739358502275,0.21805,0.30329,9.71994,-4.59276,-1.2817,6.78996
Abj,89,1739358502292,0.65862,-1.33071,9.48515,-3.73829,-1.34273,7.33926
Abj,90,1739358502304,0.21565,-0.55932,9.53061,-4.71483,9.03294,4.16553
Abj,91,1739358502317,0.21565,-0.55932,9.53061,-4.47069,-16.11281,6.85099
Abj,92,1739358502344,0.39272,-2.28873,9.71277,-2.57866,-2.0141,7.21719
Abj,93,1739358502357,0.39272,-2.28873,9.71277,-3.55519,4.88267,4.95896
Abj,94,1739358502367,0.79053,-1.6014,9.25992,0.83921,-1.22067,5.99653
Abj,95,1739358502382,0.07418,-1.16291,8.09342,0.16784,-1.15963,6.36273
Abj,96,1739358502400,0.49591,-0.82522,10.436,1.02231,-15.92971,6.85099
Abj,97,1739358502419,0.49591,-0.82522,10.436,-5.01999,7.20194,5.14206
Abj,98,1739358502444,0.34965,-0.51864,9.88984,-2.21246,-21.84231,7.76649
Abj,99,1739358502464,0.02154,-2.69611,8.79033,9.25418,2.62443,6.54583
Abj,100,1739358502481,0.46211,-1.12463,11.4685,9.80348,-6.9578,6.97306
Abj,101,1739358502493,0.46211,-1.12463,11.4685,2.85331,-5.43197,6.36273
Abj,102,1739358502499,0.83599,-1.38814,11.2699,9.25418,-2.1972,5.50826
Abj,103,1739358502516,0.83599,-1.38814,11.2699,4.86741,-7.6902,7.40029
Abj,104,1739358502532,0.05025,-1.51974,9.36282,4.86741,3.53993,5.93549
Abj,105,1739358502551,0.47198,-0.75793,9.79412,2.18194,-3.662,6.66789
Abj,106,1739358502569,0.69691,-0.71007,10.03849,3.76881,2.9296,6.05756
Abj,107,1739358502585,0.54855,-0.29103,10.48415,-1.90729,-1.2817,6.36273
Abj,108,1739358502603,0.69691,-0.66939,10.57508,-5.69136,-0.7324,7.94959
Abj,109,1739358502628,0.17468,-1.55324,9.72473,-5.14206,-0.06103,7.40029
Abj,110,1739358502649,0.52702,-2.33181,8.88156,-1.35799,3.53993,7.15616
Abj,111,1739358502668,0.40229,-1.15334,9.89462,0.16784,-3.23477,7.03409
Abj,112,1739358502682,0.65145,-1.41924,9.40379,0.16784,-0.67137,7.76649
Abj,113,1739358502690,0.65145,-1.41924,9.40379,6.02704,0.5493,7.27823
Abj,114,1739358502702,0.33051,-2.06112,9.25035,3.95191,-4.27234,7.88856
Abj,115,1739358502726,0.32094,-0.99272,9.85155,7.54525,-0.67137,7.70546
Abj,116,1739358502735,0.32094,-0.99272,9.85155,5.72188,-5.73714,7.21719
Abj,117,1739358502750,0.19382,0.05414,9.50429,3.34158,-3.2958,7.09513
Abj,118,1739358502769,0.37597,-0.15194,8.39283,0.83921,2.3803,7.94959
Abj,119,1739358502785,0.79053,-0.80608,9.47079,1.99884,-0.12207,8.49889
Abj,120,1739358502802,0.79053,-0.80608,9.47079,4.92844,4.69957,7.09513
Abj,121,1739358502823,0.19382,-2.77747,9.61915,1.57161,-0.61033,7.94959
Abj,122,1739358502846,0.28026,-0.92572,10.84816,-1.05283,-5.00474,8.682
Abj,123,1739358502852,0.28026,-0.92572,10.84816,-0.07629,7.5071,9.2313
Abj,124,1739358502867,0.48634,-1.91037,9.92842,-0.13733,4.88267,8.80406
Abj,125,1739358502886,0.50788,-1.43121,11.02074,-1.17489,3.1127,8.37683
Abj,126,1739358502903,0.14836,-1.47667,10.43839,-3.43313,2.62443,8.98716
Abj,127,1739358502919,0.14836,-1.47667,10.43839,0.16784,3.17373,9.17026
Abj,128,1739358502936,0.2324,-2.18824,10.78834,-0.44249,3.4789,7.58339
Abj,129,1739358502953,0.39751,-1.84576,10.85773,-2.76176,-0.48827,7.94959
Abj,130,1739358502976,0.02154,-0.6,9.71516,-2.76176,-2.5634,7.46133
Abj,131,1739358502992,0.39751,-1.22752,9.71516,0.10681,4.15027,6.36273
Abj,132,1739358503009,0.56291,-1.29212,10.25654,-1.17489,1.6479,5.75239
Abj,133,1739358503025,0.11486,-1.49342,9.90419,-3.18899,-1.95307,6.60686
Abj,134,1739358503042,0.11486,-1.49342,9.90419,-1.60213,1.15963,5.63033
Abj,135,1739358503053,0.1986,-0.91137,10.21825,-4.71483,-2.9296,5.38619
Abj,136,1739358503073,0.57248,-0.92812,9.43968,-5.69136,0.9155,4.95896
Abj,137,1739358503086,0.30419,-1.07438,9.78694,-8.1327,-6.0423,5.08103
Abj,138,1739358503103,0.22522,-2.33181,7.85384,-3.18899,4.33337,4.71483
Abj,139,1739358503120,0.22522,-2.33181,7.85384,2.48711,1.95307,4.53173
Abj,140,1739358503136,0.2348,-0.78694,8.55793,-1.90729,2.13617,3.98243
Abj,141,1739358503153,0.23958,-1.43121,9.45404,-2.15143,-0.7324,3.86036
