ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,1,1739351946466,-1.78475,-4.02084,7.52812,7.48422,-13.06114,4.89793
Abj,2,1739351946482,-0.65414,-2.0013,8.97966,-2.82279,9.21604,6.42376
Abj,3,1739351946487,-2.34527,-1.37617,10.59183,-1.78523,-12.817,0.80869
Abj,4,1739351946496,-2.34527,-1.37617,10.59183,-7.21719,-10.55877,0.56456
Abj,5,1739351946511,-1.88285,-1.55803,9.84916,-8.74303,10.19257,1.23593
Abj,6,1739351946528,-0.60389,-3.03859,10.72134,4.68431,0.9155,2.33453
Abj,7,1739351946546,-1.50688,-3.97029,8.62762,9.62038,7.81227,2.33453
Abj,8,1739351946563,-1.64566,0.73669,9.17378,5.05051,-1.03757,1.41903
Abj,9,1739351946582,-0.6326,-1.94387,10.44318,-0.62559,3.23477,3.12796
Abj,10,1739351946598,-0.6326,-1.94387,10.44318,-1.66316,7.20194,3.73829
Abj,11,1739351946614,-1.04925,-4.9023,9.87548,-0.68663,7.75124,3.61623
Abj,12,1739351946632,-2.3668,0.81326,11.78974,-12.8933,26.72498,1.96833
Abj,13,1739351946648,-2.38594,-0.4346,8.58934,5.41671,-25.26018,1.05283
Abj,14,1739351946667,-0.5653,-2.45414,8.85045,-2.57866,-3.23477,2.02936
Abj,15,1739351946682,-0.19412,-4.16919,8.82623,4.25708,-2.25823,-1.57161
Abj,16,1739351946700,-0.19412,-4.16919,8.82623,-2.51763,-0.3662,0.93076
Abj,17,1739351946714,-1.89482,-1.30678,11.45893,9.68142,-7.93434,-3.40261
Abj,18,1739351946736,-1.82542,-1.9989,8.18196,-0.68663,5.1268,-2.79228
Abj,19,1739351946753,-0.09601,-1.42881,9.85394,-9.29233,14.27418,-1.87678
Abj,20,1739351946765,-1.38933,-2.84925,8.85524,4.37914,17.50894,3.25003
Abj,21,1739351946779,-1.38933,-2.84925,8.85524,8.46075,-4.2113,5.93549
Abj,22,1739351946799,-0.67089,-2.74875,6.42593,-14.23603,23.97848,-1.20541
Abj,23,1739351946816,-2.24955,-0.97119,13.16471,-2.51763,4.33337,2.57866
Abj,24,1739351946834,-1.22184,-4.06152,8.1006,2.60918,13.91561,-0.47301
Abj,25,1739351946850,-0.67567,-2.12842,8.29921,1.32748,-1.6479,1.23593
Abj,26,1739351946867,-2.41944,-0.69332,12.501,-10.45196,17.87514,0.99179
Abj,27,1739351946883,-0.93679,-3.16301,9.3006,0.77818,2.7465,-3.21951
Abj,28,1739351946902,-0.93679,-3.16301,9.3006,-2.57866,4.3944,-2.48711
Abj,29,1739351946916,-1.5667,-1.35464,8.69941,-1.23593,-0.7324,-3.70778
Abj,30,1739351946934,-1.50688,-2.17149,9.59761,-0.86973,-3.662,-3.70778
Abj,31,1739351946951,-1.08754,-2.89711,10.19671,-3.00589,6.71367,-2.85331
Abj,32,1739351946972,-1.02293,-1.94148,10.31157,-3.67726,4.63854,-2.73124
Abj,33,1739351946985,-1.85175,-1.14377,10.1031,-4.89793,7.38504,-1.26644
Abj,34,1739351947006,-1.6986,-2.85165,8.67548,-1.17489,-6.9578,-1.93781
Abj,35,1739351947016,-1.6986,-2.85165,8.67548,-4.16553,9.3381,-2.97538
Abj,36,1739351947034,-0.1343,-3.18724,10.39053,4.50121,11.23014,-1.44954
Abj,37,1739351947055,-1.3319,-4.85683,9.08974,8.46075,1.22067,-3.09744
Abj,38,1739351947073,-2.11286,0.36311,10.53201,0.28991,15.55588,-3.52468
Abj,39,1739351947089,-1.99083,-1.13181,9.21685,0.71714,-1.0986,-2.60918
Abj,40,1739351947096,-1.99083,-1.13181,9.21685,-3.25003,7.81227,-3.89088
Abj,41,1739351947116,-0.50788,-3.21356,8.77358,2.18194,-1.58687,-3.15848
Abj,42,1739351947132,-1.52124,-2.75115,9.84198,-1.48006,2.25823,-3.82984
Abj,43,1739351947150,-1.52363,-2.05155,11.27229,-1.05283,4.88267,-2.85331
Abj,44,1739351947174,-1.13809,-3.18485,9.18814,11.93965,-7.81227,-5.11154
Abj,45,1739351947190,-1.0325,-1.12702,9.12593,-1.72419,4.9437,-2.24298
Abj,46,1739351947208,-2.23041,-1.14855,9.66252,-1.96833,1.76997,-4.74534
Abj,47,1739351947226,-1.51645,-2.65304,9.31017,-1.54109,-1.4648,-6.39324
Abj,48,1739351947239,-1.51645,-2.65304,9.31017,0.65611,1.22067,-6.02704
Abj,49,1739351947248,-1.57866,-2.57378,9.32932,0.47301,-0.85447,-6.51531
Abj,50,1739351947264,-1.40369,-1.80239,9.9332,-4.83689,-0.7324,-8.33868
Abj,51,1739351947282,-1.41835,-4.04955,8.55075,9.01005,3.1127,-7.36215
Abj,52,1739351947300,-1.41835,-4.04955,8.55075,6.81285,-20.26307,-9.74245
Abj,53,1739351947318,-0.99661,-2.24327,11.22653,-4.59276,18.72961,-7.66732
Abj,54,1739351947335,-1.64088,-0.96879,11.07817,4.56224,-11.41324,-5.59981
Abj,55,1739351947355,-1.59781,-2.74875,8.38565,1.69368,-5.06577,-8.58282
Abj,56,1739351947376,-1.02293,-2.04915,10.68036,2.54814,-3.05167,-6.88151
Abj,57,1739351947391,-1.51406,-2.99073,9.08495,4.31811,-12.51184,-8.15558
Abj,58,1739351947401,-1.51406,-2.99073,9.08495,-2.09039,-1.89203,-8.94902
Abj,59,1739351947427,-1.35583,-1.46231,10.51047,3.40261,-2.5634,-6.63738
Abj,60,1739351947436,-1.92592,-2.28395,9.10409,0.96128,-2.68547,-9.86452
Abj,61,1739351947447,-1.20509,-1.82393,10.11745,-1.23593,-1.89203,-8.70488
Abj,62,1739351947469,-1.7321,-2.34616,9.92603,1.32748,-8.72777,-6.94254
Abj,63,1739351947483,-1.7321,-2.34616,9.92603,0.41198,-0.67137,-5.84394
Abj,64,1739351947502,-0.2683,-2.4996,9.236,6.14911,-8.9719,-5.59981
Abj,65,1739351947519,-1.15962,-2.24088,9.4014,-2.02936,-3.05167,-5.29464
Abj,66,1739351947536,-1.98844,-1.76889,9.94038,6.63738,-13.30527,-4.19604
Abj,67,1739351947551,-0.78096,-2.58814,8.97488,1.08334,-2.62443,-4.13501
Abj,68,1739351947579,-1.46859,-1.8335,9.87309,2.97538,-8.2395,-2.91434
Abj,69,1739351947598,-1.31994,-1.26341,10.18714,-5.63033,-0.30517,-1.32748
Abj,70,1739351947616,-1.61216,-2.73679,9.35803,3.34158,-12.4508,-2.85331
Abj,71,1739351947631,-0.69242,-2.42303,9.81566,-3.06693,0.67137,-1.44954
Abj,72,1739351947637,-0.69242,-2.42303,9.81566,2.67021,-4.7606,-1.99884
Abj,73,1739351947651,-1.48056,-2.59771,9.9691,5.05051,-9.76534,0.01526
Abj,74,1739351947670,-1.2003,-1.75932,9.92842,-0.62559,4.7606,1.17489
Abj,75,1739351947683,-1.2003,-1.75932,9.92842,5.23361,-6.46954,2.15143
Abj,76,1739351947702,-1.29123,-1.97498,9.2001,-2.63969,3.662,2.33453
Abj,77,1739351947719,-2.12483,-1.99173,9.61675,3.09744,-8.11744,0.93076
Abj,78,1739351947735,-1.36301,-2.57857,9.32932,-1.41903,1.95307,2.51763
Abj,79,1739351947756,-1.53081,-1.79282,9.52822,-0.01526,-4.63854,0.68663
Abj,80,1739351947776,-1.71775,-2.08265,9.64547,-2.21246,-5.1268,1.54109
Abj,81,1739351947794,-1.52363,-1.78086,9.54976,0.22888,-6.34747,1.23593
Abj,82,1739351947807,-1.52363,-1.78086,9.54976,0.53404,-3.41787,0.93076
Abj,83,1739351947815,-1.20987,-2.98834,9.1355,2.30401,-5.73714,-0.53404
Abj,84,1739351947834,-1.48774,-1.64207,9.74866,-0.25939,-5.06577,1.29696
Abj,85,1739351947851,-1.24576,-1.54367,10.21586,-4.16553,-4.0282,-0.65611
