ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Gar,1,1742633247074,-0.07717,-1.54217,10.62294,-1.08497,7.97101,1.39996
Gar,2,1742633247079,-0.07717,-1.54217,10.62294,-1.36496,4.54112,1.46996
Gar,3,1742633247088,-0.1681,-2.35214,9.04965,0.87497,2.02119,0.34999
Gar,4,1742633247096,-0.1681,-2.35214,9.04965,4.30487,11.33092,0.62998
Gar,5,1742633247105,-0.1681,-2.35214,9.04965,6.05482,6.01107,0.20999
Gar,6,1742633247112,-0.2991,-2.14277,8.88096,4.86486,5.80108,-0.69998
Gar,7,1742633247121,-0.2991,-2.14277,8.88096,1.92494,6.85105,0.55998
Gar,8,1742633247131,-0.5318,-1.54457,10.28674,0.73498,1.25121,-0.55998
Gar,9,1742633247137,-0.5318,-1.54457,10.28674,-0.73498,7.90102,0.14
Gar,10,1742633247146,-0.42951,-2.29053,9.75195,-0.24499,2.30118,0
Gar,11,1742633247154,-0.42951,-2.29053,9.75195,1.15497,4.9611,-0.48999
Gar,12,1742633247163,-0.42951,-2.29053,9.75195,1.57495,8.74099,0.27999
Gar,13,1742633247171,0.04726,-1.54935,9.43669,0.87497,1.25121,-0.07
Gar,14,1742633247179,0.04726,-1.54935,9.43669,-1.08497,6.29106,0.83998
Gar,15,1742633247187,-0.20578,-1.58046,9.60718,-0.87497,4.82111,0.69998
Gar,16,1742633247196,-0.20578,-1.58046,9.60718,1.43496,3.00116,-0.27999
Gar,17,1742633247203,-0.20578,-1.58046,9.60718,-0.105,8.04101,-0.27999
Gar,18,1742633247212,-0.32542,-1.63191,9.94696,-0.66498,5.1711,0.14
Gar,19,1742633247222,-0.32542,-1.63191,9.94696,-1.43496,2.65117,-1.11997
Gar,20,1742633247232,-0.25304,-1.61815,10.44587,-2.97491,4.61111,0
Gar,21,1742633247237,-0.25304,-1.61815,10.44587,-2.41493,0.97122,-0.76998
Gar,22,1742633247245,-0.11545,-2.28395,9.05504,0.80498,7.41103,-1.04997
Gar,23,1742633247255,-0.11545,-2.28395,9.05504,3.5349,5.66108,-1.04997
Gar,24,1742633247264,-0.66281,-2.05962,9.65444,1.71495,4.26112,-2.44993
Gar,25,1742633247272,-0.66281,-2.05962,9.65444,-0.035,6.36106,-1.39996
Gar,26,1742633247280,-0.66281,-2.05962,9.65444,1.15497,-0.70873,-2.16994
Gar,27,1742633247289,-0.13041,-2.01954,10.06421,1.08497,6.15107,-2.23993
Gar,28,1742633247296,-0.13041,-2.01954,10.06421,0.105,5.73108,-1.95994
Gar,29,1742633247306,-0.55035,-1.62712,10.36331,-0.31499,-1.19871,-3.2899
Gar,30,1742633247314,-0.55035,-1.62712,10.36331,-1.85495,3.35115,-2.37993
Gar,31,1742633247319,-0.55035,-1.62712,10.36331,-1.43496,4.12113,-2.16994
Gar,32,1742633247327,-0.00778,-1.82871,9.91586,0.105,1.6712,-3.56989
Gar,33,1742633247336,-0.00778,-1.82871,9.91586,-3.2549,6.08107,-2.23993
Gar,34,1742633247344,-0.38584,-2.11047,9.74836,-2.55492,0.20124,-3.56989
Gar,35,1742633247353,-0.38584,-2.11047,9.74836,-0.24499,5.0311,-3.14991
Gar,36,1742633247363,-0.2016,-2.51665,9.51326,0.52498,4.40112,-4.19988
Gar,37,1742633247373,-0.2016,-2.51665,9.51326,1.08497,2.23118,-4.54987
Gar,38,1742633247382,-0.37986,-2.35514,9.58266,-0.035,4.9611,-3.4999
Gar,39,1742633247386,-0.37986,-2.35514,9.58266,1.01497,-0.28874,-4.61986
Gar,40,1742633247397,-0.37986,-2.35514,9.58266,-0.38499,5.38109,-4.68986
Gar,41,1742633247406,-0.48215,-2.06381,10.13241,-2.55492,-1.33871,-3.84989
Gar,42,1742633247413,-0.48215,-2.06381,10.13241,-1.50496,-4.83861,-5.03985
Gar,43,1742633247423,0.29372,-2.60578,8.84985,1.57495,5.38109,-4.12988
Gar,44,1742633247433,0.29372,-2.60578,8.84985,4.58487,-1.12872,-5.03985
Gar,45,1742633247438,-0.36491,-1.18265,10.15753,1.71495,-0.42874,-4.61986
Gar,46,1742633247445,-0.36491,-1.18265,10.15753,0.52498,1.39121,-4.33987
Gar,47,1742633247454,-0.36491,-1.18265,10.15753,0.66498,-1.5487,-4.47987
Gar,48,1742633247462,-0.18963,-1.43151,9.41636,-2.27493,0.41124,-4.89986
Gar,49,1742633247471,-0.18963,-1.43151,9.41636,2.27493,2.65117,-5.03985
Gar,50,1742633247480,-0.08495,-0.86321,10.41476,0.24499,-1.6887,-5.38984
Gar,51,1742633247487,-0.08495,-0.86321,10.41476,-1.43496,2.37118,-5.03985
Gar,52,1742633247496,-0.08495,-0.86321,10.41476,1.43496,-0.21874,-5.38984
Gar,53,1742633247505,-0.43549,-1.68754,9.45763,1.50496,2.86117,-5.73983
Gar,54,1742633247514,-0.43549,-1.68754,9.45763,2.20494,4.40112,-5.80983
Gar,55,1742633247522,-0.13998,-2.67936,8.86481,4.09488,2.93116,-6.43981
Gar,56,1742633247531,-0.13998,-2.67936,8.86481,2.48493,4.9611,-6.08982
Gar,57,1742633247540,0.07059,-2.22533,9.71007,0.66498,0.76123,-5.80983
Gar,58,1742633247548,0.07059,-2.22533,9.71007,-0.105,2.23118,-5.10985
Gar,59,1742633247557,0.07059,-2.22533,9.71007,-0.31499,2.93116,-5.38984
Gar,60,1742633247563,-0.36311,-1.91127,9.8351,-1.15497,-1.89869,-5.10985
Gar,61,1742633247571,-0.36311,-1.91127,9.8351,-1.43496,-2.38868,-5.66983
Gar,62,1742633247580,-0.26859,-1.72223,9.21955,-0.59498,-0.56873,-5.17985
Gar,63,1742633247589,-0.26859,-1.72223,9.21955,-1.36496,-3.01866,-5.24985
Gar,64,1742633247598,-0.12383,-1.43928,10.1671,-5.14485,-1.05872,-4.82986
Gar,65,1742633247606,-0.12383,-1.43928,10.1671,-3.5349,-5.39859,-4.75986
Gar,66,1742633247614,-0.12383,-1.43928,10.1671,-2.41493,-6.09857,-5.17985
Gar,67,1742633247621,0.03829,-2.61117,9.40858,1.36496,3.49115,-5.03985
Gar,68,1742633247631,0.03829,-2.61117,9.40858,1.57495,-1.8287,-5.38984
Gar,69,1742633247639,-0.08136,-2.17448,9.98226,-2.27493,0.55123,-5.03985
Gar,70,1742633247648,-0.08136,-2.17448,9.98226,-2.83492,-0.70873,-4.75986
Gar,71,1742633247656,-0.32782,-2.27677,10.62234,-2.97491,-3.99863,-4.96985
Gar,72,1742633247664,-0.32782,-2.27677,10.62234,-0.59498,0.13125,-4.40987
Gar,73,1742633247673,-0.32782,-2.27677,10.62234,1.57495,-2.24868,-5.10985
Gar,74,1742633247682,-0.28953,-2.29412,10.11745,-1.22496,-0.84873,-4.82986
Gar,75,1742633247690,-0.28953,-2.29412,10.11745,-1.01497,-3.01866,-3.98988
Gar,76,1742633247698,0.03769,-2.53819,9.94397,0.66498,-4.62861,-4.05988
Gar,77,1742633247705,0.03769,-2.53819,9.94397,5.07485,0.69123,-5.38984
Gar,78,1742633247715,-0.44806,-1.5338,9.46361,10.60469,0.97122,-4.96985
Gar,79,1742633247723,-0.44806,-1.5338,9.46361,2.76492,-0.00875,-5.10985
Gar,80,1742633247732,-0.44806,-1.5338,9.46361,0.035,0.69123,-4.33987
Gar,81,1742633247738,-0.13938,-1.31725,10.42373,3.4649,-6.51856,-5.10985
Gar,82,1742633247748,-0.13938,-1.31725,10.42373,3.2549,0.62123,-5.17985
Gar,83,1742633247756,-0.32423,-1.02233,10.06421,0.94497,-1.33871,-4.05988
Gar,84,1742633247766,-0.32423,-1.02233,10.06421,-1.36496,-6.02857,-4.82986
Gar,85,1742633247773,0.18185,-1.63968,9.29432,1.71495,1.46121,-3.70989
Gar,86,1742633247781,0.18185,-1.63968,9.29432,0.59498,-3.57864,-4.47987
Gar,87,1742633247789,0.18185,-1.63968,9.29432,-1.92494,-0.98872,-3.84989
Gar,88,1742633247798,0.21715,-1.8323,9.27458,-2.97491,1.5312,-2.30993
Gar,89,1742633247806,0.21715,-1.8323,9.27458,-0.45499,-2.94866,-3.77989
Gar,90,1742633247815,-0.18903,-2.57288,9.19622,-0.73498,2.86117,-3.14991
Gar,91,1742633247823,-0.18903,-2.57288,9.19622,-0.66498,0.13125,-2.86992
Gar,92,1742633247832,-0.43789,-2.15533,9.08136,0.105,-1.12872,-3.84989
Gar,93,1742633247840,-0.43789,-2.15533,9.08136,-0.59498,1.5312,-3.21991
Gar,94,1742633247848,-0.43789,-2.15533,9.08136,-1.71495,-2.66867,-2.79992
Gar,95,1742633247858,-0.19741,-1.95733,9.51386,-3.3949,-2.24868,-3.00991
Gar,96,1742633247866,-0.19741,-1.95733,9.51386,-6.05482,-1.89869,-1.88994
Gar,97,1742633247873,-0.18185,-2.25165,10.11865,-6.26482,-3.50865,-2.65992
Gar,98,1742633247881,-0.18185,-2.25165,10.11865,-6.61481,-5.53859,-2.72992
Gar,99,1742633247890,-0.07298,-2.48495,9.50369,-3.88489,-6.16857,-2.44993
Gar,100,1742633247900,-0.07298,-2.48495,9.50369,0.24499,-6.23857,-3.98988
Gar,101,1742633247907,-0.07298,-2.48495,9.50369,2.20494,5.94108,-2.44993
Gar,102,1742633247914,-0.6658,-1.34237,10.30409,-5.07485,-6.86855,-3.84989
Gar,103,1742633247925,-0.6658,-1.34237,10.30409,-6.61481,-3.50865,-3.14991
