ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Gar,1,1742633335197,-0.80638,-2.89113,9.64906,-9.13473,8.25101,-3.21991
Gar,2,1742633335204,-0.96969,-3.57488,9.37568,-9.13473,1.39121,-6.43981
Gar,3,1742633335215,-0.96969,-3.57488,9.37568,-7.31479,3.77114,-4.33987
Gar,4,1742633335224,-0.50489,-2.15055,10.34537,-5.70483,6.01107,-3.98988
Gar,5,1742633335228,-0.50489,-2.15055,10.34537,-5.07485,5.59109,-5.45984
Gar,6,1742633335239,-0.54018,-3.46959,9.34158,-0.31499,6.36106,-5.94982
Gar,7,1742633335247,-0.54018,-3.46959,9.34158,0.59498,7.55103,-5.45984
Gar,8,1742633335255,-0.54018,-3.46959,9.34158,-0.94497,8.88099,-7.48978
Gar,9,1742633335263,-0.51147,-2.82413,9.66401,0.17499,8.11101,-8.11976
Gar,10,1742633335272,-0.51147,-2.82413,9.66401,3.11491,10.49094,-7.90977
Gar,11,1742633335279,-0.08016,-2.83908,9.94098,3.67489,13.92084,-8.74974
Gar,12,1742633335289,-0.08016,-2.83908,9.94098,6.8948,16.02078,-9.44972
Gar,13,1742633335298,-0.51625,-3.05025,9.69452,8.78474,16.09078,-10.00971
Gar,14,1742633335306,-0.51625,-3.05025,9.69452,9.20473,18.40071,-9.93971
Gar,15,1742633335314,-0.51625,-3.05025,9.69452,12.35464,20.15066,-10.63969
Gar,16,1742633335323,-0.8991,-2.27079,9.95773,11.65466,13.64085,-11.68966
Gar,17,1742633335331,-0.8991,-2.27079,9.95773,10.0447,14.83081,-11.12967
Gar,18,1742633335340,-0.64068,-2.01894,9.58146,9.69471,14.13083,-11.54966
Gar,19,1742633335349,-0.64068,-2.01894,9.58146,8.01476,9.79096,-11.61966
Gar,20,1742633335355,-0.64068,-2.01894,9.58146,8.64475,10.14095,-11.68966
Gar,21,1742633335367,-0.05503,-1.81077,9.79143,10.0447,11.8209,-11.40966
Gar,22,1742633335373,-0.05503,-1.81077,9.79143,10.39469,10.49094,-12.80962
Gar,23,1742633335380,-0.58026,-1.91007,9.2333,11.16467,12.31089,-13.29961
Gar,24,1742633335389,-0.58026,-1.91007,9.2333,11.23467,16.93075,-13.6496
Gar,25,1742633335395,-0.46361,-2.6345,8.98625,10.95468,13.71085,-14.69957
Gar,26,1742633335405,-0.46361,-2.6345,8.98625,8.15476,11.26092,-15.53954
Gar,27,1742633335415,-0.69751,-3.37508,9.17109,3.5349,5.80108,-15.11955
Gar,28,1742633335424,-0.69751,-3.37508,9.17109,2.06494,2.72117,-16.16952
Gar,29,1742633335432,-0.69751,-3.37508,9.17109,1.01497,5.0311,-15.74954
Gar,30,1742633335437,-0.70648,-3.37986,9.61017,0.31499,6.99104,-15.18955
Gar,31,1742633335448,-0.70648,-3.37986,9.61017,-0.52498,0.90122,-15.95953
Gar,32,1742633335457,-0.37807,-2.3994,10.07797,-0.45499,4.40112,-15.88953
Gar,33,1742633335464,-0.37807,-2.3994,10.07797,0.59498,0.20124,-19.10944
Gar,34,1742633335473,-0.37807,-2.3994,10.07797,3.74489,3.91113,-20.01941
Gar,35,1742633335479,-0.18903,-1.36271,10.77548,3.67489,0.55123,-17.84948
Gar,36,1742633335488,-0.18903,-1.36271,10.77548,1.85495,-0.00875,-18.33946
Gar,37,1742633335499,-0.28235,-1.91127,9.29612,4.58487,4.12113,-19.38943
Gar,38,1742633335507,-0.28235,-1.91127,9.29612,2.55492,3.00116,-18.96944
Gar,39,1742633335516,-0.66281,-2.38146,10.64866,-1.43496,0.90122,-19.73942
Gar,40,1742633335523,-0.66281,-2.38146,10.64866,1.92494,6.71105,-20.01941
Gar,41,1742633335529,-0.66281,-2.38146,10.64866,2.55492,6.78105,-20.15941
Gar,42,1742633335541,-0.70648,-2.48913,10.32981,2.48493,4.12113,-21.06938
Gar,43,1742633335547,-0.70648,-2.48913,10.32981,3.3249,7.97101,-20.64939
Gar,44,1742633335555,-0.18664,-3.402,9.66581,3.5349,8.391,-20.78939
Gar,45,1742633335564,-0.18664,-3.402,9.66581,3.3949,5.73108,-21.62936
Gar,46,1742633335571,-0.84287,-3.35294,9.46481,0.87497,1.6012,-21.83936
Gar,47,1742633335580,-0.84287,-3.35294,9.46481,-1.78495,-1.8287,-21.41937
Gar,48,1742633335588,-0.84287,-3.35294,9.46481,-5.35484,-3.85864,-22.67933
Gar,49,1742633335598,-0.54437,-3.01974,9.98645,-5.84483,-7.14854,-21.90936
Gar,50,1742633335606,-0.54437,-3.01974,9.98645,-5.63483,-11.48841,-23.23932
Gar,51,1742633335615,-0.20279,-2.33599,10.24906,-1.78495,-8.82849,-25.19926
Gar,52,1742633335623,-0.20279,-2.33599,10.24906,-0.80498,-6.93855,-22.25934
Gar,53,1742633335630,-0.1986,-2.02911,9.68196,-2.27493,-9.24848,-24.77927
Gar,54,1742633335639,-0.1986,-2.02911,9.68196,-1.92494,-6.30856,-24.28929
Gar,55,1742633335647,-0.1986,-2.02911,9.68196,2.06494,-4.13863,-24.63928
Gar,56,1742633335658,-0.28834,-1.5673,10.10908,3.88489,-7.14854,-24.70927
Gar,57,1742633335665,-0.28834,-1.5673,10.10908,3.4649,-6.02857,-25.12926
Gar,58,1742633335674,-0.28056,-1.72762,10.67019,4.65486,-6.65855,-24.42928
Gar,59,1742633335681,-0.28056,-1.72762,10.67019,4.16488,-4.83861,-24.91927
Gar,60,1742633335689,-0.28056,-1.72762,10.67019,4.09488,-2.17869,-24.14929
Gar,61,1742633335698,0.31107,-2.31027,10.43689,6.33481,1.25121,-23.7993
Gar,62,1742633335708,0.31107,-2.31027,10.43689,4.58487,1.6012,-23.8693
Gar,63,1742633335717,-0.18485,-3.56889,8.6016,3.67489,2.51118,-24.49928
Gar,64,1742633335721,-0.18485,-3.56889,8.6016,5.98482,0.48124,-24.42928
Gar,65,1742633335731,-0.3673,-3.7328,8.74636,8.43475,-3.15866,-24.63928
Gar,66,1742633335740,-0.3673,-3.7328,8.74636,5.77483,-4.69861,-24.14929
Gar,67,1742633335747,-0.3673,-3.7328,8.74636,4.23488,-5.74858,-23.51931
Gar,68,1742633335755,-0.79083,-3.85783,9.13939,2.34493,-13.72835,-25.61925
Gar,69,1742633335766,-0.79083,-3.85783,9.13939,1.57495,-15.2683,-25.12926
Gar,70,1742633335773,-1.19342,-4.45843,9.77887,-2.69492,-25.558,-25.40925
Gar,71,1742633335783,-1.19342,-4.45843,9.77887,-1.15497,-27.02795,-24.70927
Gar,72,1742633335789,-0.19143,-3.51625,10.15335,1.64495,-26.39797,-24.14929
Gar,73,1742633335798,-0.19143,-3.51625,10.15335,30.90409,-7.84852,-21.48937
Gar,74,1742633335809,-0.32542,-2.36351,10.27418,29.99412,-17.29824,-25.19926
Gar,75,1742633335818,-0.32542,-2.36351,10.27418,9.83471,-22.47809,-23.7993
Gar,76,1742633335826,-0.32542,-2.36351,10.27418,23.34431,-37.81639,-28.97915
Gar,77,1742633335832,-0.43669,-4.02951,10.42972,24.11429,-22.33809,-25.47925
Gar,78,1742633335841,-0.43669,-4.02951,10.42972,24.53428,-15.68829,-26.80921
Gar,79,1742633335848,0.31884,-3.0012,11.04048,26.21423,-25.27801,-27.85918
Gar,80,1742633335857,0.31884,-3.0012,11.04048,25.23426,-27.23795,-26.31923
Gar,81,1742633335867,-0.7657,-1.73659,10.98126,18.51446,-31.02658,-27.2992
Gar,82,1742633335874,-0.7657,-1.73659,10.98126,17.0445,-35.64645,-27.36919
Gar,83,1742633335882,-0.7657,-1.73659,10.98126,26.28423,-47.40611,-32.33905
Gar,84,1742633335890,0.11366,-1.92622,10.35195,33.07403,-18.97819,-26.73921
Gar,85,1742633335900,0.11366,-1.92622,10.35195,39.58384,-20.65814,-27.1592
Gar,86,1742633335907,0.09212,-0.47139,11.4012,47.91359,-19.74817,-31.84906
Gar,87,1742633335915,0.09212,-0.47139,11.4012,39.72383,-18.13822,-23.30931
Gar,88,1742633335923,0.09212,-0.47139,11.4012,28.38416,-22.2681,-24.70927
Gar,89,1742633335932,0.29492,0.42473,8.88754,20.82439,-28.64666,-22.95932
Gar,90,1742633335942,0.29492,0.42473,8.88754,28.66416,-25.83799,-24.21929
Gar,91,1742633335951,1.21854,1.35673,9.79323,32.30405,-13.30836,-23.16932
Gar,92,1742633335962,1.21854,1.35673,9.79323,22.78433,-14.42833,-20.2294
Gar,93,1742633335968,0.45583,1.88674,9.26022,19.91441,-19.53817,-19.31943
Gar,94,1742633335974,0.45583,1.88674,9.26022,11.44466,-22.82808,-17.14949
Gar,95,1742633335982,0.45583,1.88674,9.26022,9.27473,-19.74817,-15.32955
Gar,96,1742633335990,0.1998,2.22174,9.09691,7.59478,-21.49812,-15.04956
Gar,97,1742633336001,0.1998,2.22174,9.09691,0.31499,-12.18839,-13.15961
Gar,98,1742633336010,0.48574,4.68395,10.05644,-7.03479,-9.45847,-10.63969
Gar,99,1742633336017,0.48574,4.68395,10.05644,-27.75418,-19.04819,-12.66963
Gar,100,1742633336024,-0.51266,-0.98644,11.58964,-41.54378,-2.66867,-16.58951
Gar,101,1742633336032,-0.51266,-0.98644,11.58964,-50.01353,-30.95659,-14.41958
Gar,102,1742633336040,-0.51266,-0.98644,11.58964,-50.50351,-36.48643,-14.34958
Gar,103,1742633336053,0.11904,-0.3003,11.20798,-64.36311,-27.37794,-7.76977
Gar,104,1742633336060,0.11904,-0.3003,11.20798,-59.46325,-23.80805,-3.98988
Gar,105,1742633336066,4.90588,-3.76331,7.17368,-60.09324,-8.75849,-0.83998
Gar,106,1742633336075,4.90588,-3.76331,7.17368,-72.48287,-5.39859,3.07991
Gar,107,1742633336084,0.30449,-2.69193,13.2365,-77.73271,-19.04819,6.6498
Gar,108,1742633336092,0.30449,-2.69193,13.2365,-88.3024,-12.67838,7.83977
Gar,109,1742633336100,0.30449,-2.69193,13.2365,-87.67242,-7.63853,6.7198
Gar,110,1742633336110,-0.17169,-5.54776,13.05345,-52.25346,-30.25661,-2.86992
Gar,111,1742633336119,-0.17169,-5.54776,13.05345,-60.51322,-27.65794,5.38984
Gar,112,1742633336124,-2.1673,-4.30708,10.72343,-73.46284,-33.61651,7.20979
Gar,113,1742633336133,-2.1673,-4.30708,10.72343,-78.64268,-23.31806,6.50981
Gar,114,1742633336144,-0.89432,-4.86281,9.75255,-54.70339,-25.418,2.79992
Gar,115,1742633336153,-0.89432,-4.86281,9.75255,-45.60366,-23.87805,8.18976
Gar,116,1742633336159,-0.89432,-4.86281,9.75255,-38.74386,-16.10828,8.81974
Gar,117,1742633336168,-1.78265,-6.91945,10.97707,-32.51404,-15.96828,5.17985
Gar,118,1742633336177,-1.78265,-6.91945,10.97707,-10.74468,-3.15866,4.26987
Gar,119,1742633336184,-0.50967,-8.75294,9.42593,0.45499,-1.05872,3.77989
Gar,120,1742633336195,-0.50967,-8.75294,9.42593,15.36455,4.61111,-5.66983
Gar,121,1742633336202,0.14536,-7.5673,7.75155,14.31458,3.49115,0.69998
Gar,122,1742633336210,0.14536,-7.5673,7.75155,12.28464,-7.63853,9.86971
