ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,1,1739354754740,-0.411,-0.687,8.69595,-1.00053,-11.23427,-3.00158
HS,2,1739354754749,-0.32895,-0.67905,9.41205,-3.1749,-13.19593,-3.07249
HS,3,1739354754762,-0.32895,-0.67905,9.41205,-2.75736,-12.28207,-1.67017
HS,4,1739354754777,0.07905,-0.696,8.27895,-2.26103,-14.10192,-0.48057
HS,5,1739354754791,0.34005,-0.48105,8.916,-3.24581,-16.90655,0.98477
HS,6,1739354754804,0.34005,-0.48105,8.916,-4.00999,-15.64604,1.54412
HS,7,1739354754817,-1.39005,-0.17205,8.64105,-3.38761,-16.4181,1.61502
HS,8,1739354754837,-2.44395,-2.76495,9.429,-0.7957,-17.25319,1.75683
HS,9,1739354754852,-1.80195,-0.438,11.30805,-2.26103,-13.05413,4.62449
HS,10,1739354754870,-1.215,-1.539,9.28005,0.323,-13.05413,6.79886
HS,11,1739354754883,-0.468,-0.22695,10.05105,0.53572,-11.37608,6.72796
HS,12,1739354754902,-0.17595,-1.25895,10.722,-1.77259,-9.34351,7.1455
HS,13,1739354754915,-0.17595,-1.25895,10.722,0.53572,-7.17701,12.32934
HS,14,1739354754927,-0.21195,-3.129,10.12095,2.21377,-18.02525,10.71431
HS,15,1739354754946,0.18705,-1.21095,10.329,7.11399,-3.74213,10.71431
HS,16,1739354754959,-0.54195,0.39,11.41095,5.01839,-21.17652,11.97482
HS,17,1739354754970,-0.54195,0.39,11.41095,4.17543,-4.09665,13.51894
HS,18,1739354754984,0.09105,-0.48105,7.98495,3.82879,-7.10611,15.61453
HS,19,1739354755005,-1.527,1.66095,12.25395,-1.00053,-10.81673,16.66233
HS,20,1739354755027,-2.32905,-2.20905,8.18805,-7.51577,-22.22432,16.24479
HS,21,1739354755047,-1.17195,-0.768,10.41495,-7.02733,-2.4186,17.6471
HS,22,1739354755061,-0.66705,-3.936,10.71,-3.87606,-19.56149,18.41916
HS,23,1739354755080,0.33495,-1.173,10.719,0.81933,1.22112,21.14501
HS,24,1739354755094,-0.03195,0.17895,8.58405,10.19435,-11.86452,22.40552
HS,25,1739354755113,-0.03705,0.05205,10.16895,-0.09454,-2.13498,23.38241
HS,26,1739354755125,-0.03705,0.05205,10.16895,-1.35505,-6.05831,23.10667
HS,27,1739354755147,-1.53405,0.816,9.01695,-7.86241,-4.93173,22.61823
HS,28,1739354755162,-0.768,-4.25205,9.01905,-2.54465,-7.59456,23.45331
HS,29,1739354755178,-1.395,-0.10995,10.73805,-1.00053,-5.49108,25.13924
